"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"39","Connor Hellebuyck","WPG","187","11086.7","5426","5002","424","0.922","2.29","104.65","532.26","1434","1200","234","0.837","1.27","34.34","1377","1252","125","0.909","0.68","34.65","2306","2241","65","0.972","0.35","26.90","288","969","36.59","19.84"
"46","Juuse Saros","NSH","186","10794","5537","5026","511","0.908","2.84","28.46","533.4","1472","1218","254","0.827","1.41","21.45","1554","1386","168","0.892","0.93","12.17","2228","2140","88","0.961","0.49","0.79","378","912","34.17","20.40"
"57","Ilya Sorokin","NYI","179","10412.5","5357","4892","465","0.913","2.68","56.92","523.1","1470","1237","233","0.841","1.34","42.08","1333","1189","144","0.892","0.83","10.55","2304","2216","88","0.962","0.51","3.82","272","1028","34.90","21.06"
"33","Andrei Vasilevskiy","T.B","175","10402.366666667","5069","4626","443","0.913","2.56","50.87","481.69","1321","1106","215","0.837","1.24","32.19","1380","1224","156","0.887","0.90","4.00","2128","2057","71","0.967","0.41","13.81","299","818","34.89","21.68"
"60","Igor Shesterkin","NYR","174","10271","5076","4624","452","0.911","2.64","42.55","506.09","1447","1196","251","0.827","1.47","19.77","1342","1205","137","0.898","0.80","18.59","2032","1968","64","0.969","0.37","16.98","378","929","34.22","19.43"
"83","Jake Oettinger","DAL","174","10139.533333333","4864","4433","431","0.911","2.55","42.89","461.4","1228","986","242","0.803","1.43","-12.21","1225","1097","128","0.896","0.76","14.03","2125","2064","61","0.971","0.36","23.69","281","753","36.79","19.00"
"29","Jordan Binnington","STL","174","10058.466666667","5068","4573","495","0.902","2.95","-1.23","509.54","1380","1118","262","0.810","1.56","-3.77","1343","1201","142","0.894","0.85","13.71","2119","2028","91","0.957","0.54","-6.55","295","900","33.96","20.56"
"94","Alexandar Georgiev","COL, S.J","174","10010.083333333","4992","4489","503","0.899","3.01","-16.64","491.35","1428","1167","261","0.817","1.56","6.22","1204","1066","138","0.885","0.83","1.59","2103","1999","104","0.951","0.62","-20.19","287","875","34.50","19.77"
"18","Sergei Bobrovsky","FLA","162","9448.6166666667","4427","4017","410","0.907","2.60","21.32","421.25","1188","972","216","0.818","1.37","6.31","1071","964","107","0.900","0.68","17.17","1885","1798","87","0.954","0.55","-11.88","252","712","37.01","20.05"
"82","Stuart Skinner","EDM","160","9206.8833333333","4414","3997","417","0.906","2.72","13.05","438.73","1149","929","220","0.809","1.43","-4.99","1284","1145","139","0.892","0.91","9.87","1748","1690","58","0.967","0.38","11.66","249","721","34.69","20.41"
"11","Jacob Markstrom","CGY, N.J","156","9144.9666666667","4134","3716","418","0.899","2.74","-15.23","426.19","1172","968","204","0.826","1.34","15.31","1175","1028","147","0.875","0.96","-10.77","1566","1499","67","0.957","0.44","-4.59","320","724","34.69","21.72"
"68","Karel Vejmelka","ARI, UTA","146","8349.3","4270","3843","427","0.900","3.07","-10.98","430.52","1170","930","240","0.795","1.72","-21.06","1122","1003","119","0.894","0.86","11.09","1762","1694","68","0.961","0.49","2.22","219","685","35.11","19.65"
"64","Sam Montembeault","MTL","143","8297.7","4331","3905","426","0.902","3.08","-4.04","471.02","1236","998","238","0.807","1.72","-6.71","1135","1009","126","0.889","0.91","5.59","1753","1691","62","0.965","0.45","7.86","251","841","34.28","19.51"
"80","Filip Gustavsson","MIN","142","8261.0666666667","4149","3793","356","0.914","2.59","48.23","375.79","983","811","172","0.825","1.25","11.95","1133","1016","117","0.897","0.85","14.36","1854","1787","67","0.964","0.49","6.89","237","652","35.91","20.56"
"85","Ukko-Pekka Luukkonen","BUF","142","8163.9166666667","4015","3599","416","0.896","3.06","-24.82","397.21","1098","879","219","0.801","1.61","-13.53","1090","968","122","0.888","0.90","4.38","1637","1562","75","0.954","0.55","-9.76","246","723","35.08","20.87"
"16","Darcy Kuemper","L.A, WSH","140","8063.9666666667","3883","3526","357","0.908","2.66","21.32","387","1042","855","187","0.821","1.39","7.99","1007","902","105","0.896","0.78","11.75","1625","1560","65","0.960","0.48","-0.24","278","666","35.51","21.17"
"92","Jeremy Swayman","BOS","139","7969.4166666667","3869","3509","360","0.907","2.71","16.95","380.94","1015","829","186","0.817","1.40","3.93","1013","883","130","0.872","0.98","-12.55","1632","1588","44","0.973","0.33","21.04","279","672","35.68","19.91"
"17","Cam Talbot","DET, L.A, OTT","137","7706.7","3721","3367","354","0.905","2.76","8.53","364.09","902","722","180","0.800","1.40","-11.21","972","857","115","0.882","0.90","-2.31","1632","1573","59","0.964","0.46","6.04","215","667","36.32","20.01"
"40","Linus Ullmark","BOS, OTT","134","7749.9666666667","3895","3589","306","0.921","2.37","73.48","367.27","1056","891","165","0.844","1.28","32.61","1008","914","94","0.907","0.73","22.87","1607","1560","47","0.971","0.36","17.04","294","695","35.58","20.15"
"47","Tristan Jarry","PIT","134","7410.5666666667","3754","3388","366","0.903","2.96","-0.25","355.75","960","757","203","0.789","1.64","-23.36","1026","917","109","0.894","0.88","9.96","1569","1516","53","0.966","0.43","9.53","223","608","35.72","19.72"
"24","Petr Mrazek","CHI, DET","133","7397.95","4039","3631","408","0.899","3.31","-14.49","385.25","1135","911","224","0.803","1.82","-11.61","1070","954","116","0.892","0.94","8.06","1676","1608","68","0.959","0.55","-1.21","234","724","33.85","18.81"
"31","John Gibson","ANA","128","7129.1833333333","4138","3715","423","0.898","3.56","-19.84","415.87","1249","1021","228","0.817","1.92","5.72","1048","919","129","0.877","1.09","-7.49","1697","1631","66","0.961","0.56","1.63","206","704","32.79","19.73"
"93","Logan Thompson","VGK, WSH","126","7354.05","3602","3282","320","0.911","2.61","30.94","346.54","885","724","161","0.818","1.31","4.61","910","820","90","0.901","0.73","15.51","1623","1555","68","0.958","0.55","-3.32","239","663","35.81","21.38"
"56","Elvis Merzlikins","CBJ","124","6989.7833333333","3713","3305","408","0.890","3.50","-46.25","365.82","992","792","200","0.798","1.72","-14.37","933","805","128","0.863","1.10","-19.83","1617","1537","80","0.951","0.69","-15.56","217","692","34.95","21.45"
"61","Mackenzie Blackwood","COL, N.J, S.J","122","6786.3166666667","3496","3159","337","0.904","2.98","3.61","357.27","966","792","174","0.820","1.54","6.76","931","818","113","0.879","1.00","-5.06","1435","1385","50","0.965","0.44","7.19","237","683","35.19","20.51"
"37","Joonas Korpisalo","BOS, CBJ, L.A, OTT","121","6803.0333333333","3423","3077","346","0.899","3.05","-12.50","337.66","916","748","168","0.817","1.48","3.41","906","791","115","0.873","1.01","-9.96","1424","1361","63","0.956","0.56","-6.25","200","649","35.04","20.62"
"75","Charlie Lindgren","WSH","120","6831.45","3271","2954","317","0.903","2.78","1.69","322.08","860","679","181","0.790","1.59","-20.07","813","740","73","0.910","0.64","21.26","1435","1372","63","0.956","0.55","-5.81","188","505","35.43","20.66"
"97","Lukas Dostal","ANA","117","6443.1833333333","3614","3260","354","0.902","3.30","-1.89","361.13","969","780","189","0.805","1.76","-7.67","941","844","97","0.897","0.90","12.10","1553","1485","68","0.956","0.63","-6.11","188","566","34.20","20.31"
"111","Pyotr Kochetkov","CAR","113","6566.1166666667","2831","2561","270","0.905","2.47","5.82","283.91","841","711","130","0.845","1.19","27.37","725","628","97","0.866","0.89","-12.94","1084","1042","42","0.961","0.38","1.20","169","503","34.97","20.69"
"71","Joey Daccord","SEA","112","6376.1666666667","3103","2823","280","0.910","2.63","22.32","306.22","716","568","148","0.793","1.39","-14.02","788","708","80","0.898","0.75","11.36","1431","1379","52","0.964","0.49","5.03","152","623","36.93","20.02"
"66","Adin Hill","VGK","112","6399.9333333333","2994","2722","272","0.909","2.55","19.70","288.89","693","568","125","0.820","1.17","4.68","831","729","102","0.877","0.96","-5.65","1321","1276","45","0.966","0.42","7.65","162","572","35.49","20.06"
"2","Marc-Andre Fleury","MIN","112","6277.2166666667","3092","2787","305","0.901","2.92","-3.75","280.79","782","627","155","0.802","1.48","-8.67","789","700","89","0.887","0.85","2.48","1361","1301","60","0.956","0.57","-5.76","170","485","35.85","21.66"
"65","Ilya Samsonov","TOR, VGK","111","6521.9333333333","3023","2725","298","0.901","2.74","-3.47","299.42","796","660","136","0.829","1.25","12.95","776","671","105","0.865","0.97","-15.03","1293","1236","57","0.956","0.52","-5.47","179","570","35.37","21.73"
