"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"453","Connor McDavid","EDM","C","225","4935.0166666667","122","263","172","91","385","79.71","811","15.04","103.68","1351","1077","895","378","43","133","93","45","44","1","0","109","235","182","247","298","94","1337","1315","50.41"
"215","Nikita Kucherov","T.B","R","241","5058.8","111","267","166","101","378","79.75","842","13.18","86.96","1730","1233","812","253","34","148","103","46","44","1","1","88","316","149","129","249","74","5","3","62.50"
"346","Nathan MacKinnon","COL","C","232","5255.1166666667","125","242","145","97","367","75.83","1091","11.46","98.41","1911","1439","979","292","58","133","113","47","44","1","2","90","250","112","145","226","160","1882","2114","47.10"
"379","Leon Draisaitl","EDM","C","232","4942.7833333333","145","195","128","67","340","73.28","705","20.57","91.37","1265","1016","716","267","32","116","134","59","57","0","2","71","282","194","146","354","89","2283","1834","55.45"
"396","David Pastrnak","BOS","R","246","4893.7833333333","151","178","115","63","329","82.25","1108","13.63","108.56","2069","1515","971","314","65","166","127","56","54","1","1","93","325","146","219","363","74","19","32","37.25"
"508","Artemi Panarin","NYR","L","244","4832.2333333333","115","186","98","88","301","79.42","744","15.46","75.84","1667","1135","768","168","48","122","76","38","38","0","0","50","271","95","62","129","35","7","23","23.33"
"462","Mikko Rantanen","CAR, COL, DAL","R","244","5397.2666666667","129","168","107","61","297","66.00","790","16.33","102.87","1528","1162","885","344","35","115","192","83","80","0","3","71","170","144","178","383","127","632","587","51.85"
"495","Mitch Marner","TOR","R","230","4896.7333333333","83","203","127","76","286","73.90","527","15.75","59.57","1160","771","596","194","40","93","60","30","30","0","0","53","260","219","161","253","132","14","40","25.93"
"17","Sidney Crosby","PIT","C","244","4928.85","108","170","103","67","278","71.28","760","14.21","105.8","1348","1085","792","390","51","141","123","52","49","1","2","70","210","161","238","185","117","3085","2415","56.09"
"544","Auston Matthews","TOR","C","222","4570.5166666667","142","128","80","48","270","68.18","957","14.84","121.27","1742","1375","1135","486","41","161","60","25","24","0","1","63","171","182","212","230","267","1950","1641","54.30"
"382","William Nylander","TOR","R","246","4753.15","125","144","86","58","269","70.42","862","14.50","96.18","1563","1179","853","332","52","122","78","37","37","0","0","51","161","166","64","254","81","157","174","47.43"
"677","Jason Robertson","DAL","L","246","4506.4833333333","110","159","84","75","269","73.50","755","14.57","82.32","1449","1039","747","270","32","127","60","30","30","0","0","48","203","146","193","278","94","7","13","35.00"
"409","Brayden Point","T.B","C","240","4735.9833333333","139","128","72","56","267","62.82","654","21.25","99.67","1171","917","926","480","25","108","28","11","9","2","0","46","125","104","79","222","93","1141","1211","48.51"
"226","J.T. Miller","NYR, VAN","C","234","4564.15","91","164","112","52","255","73.70","554","16.43","71.29","1052","829","615","264","30","89","173","73","64","9","0","67","167","122","586","223","160","1938","1487","56.58"
"541","Matthew Tkachuk","FLA","L","211","4053.6666666667","88","166","105","61","254","70.36","760","11.58","105.66","1354","1056","794","457","29","170","265","93","80","5","8","112","171","87","303","169","64","17","26","39.53"
"561","Clayton Keller","ARI, UTA","R","241","4751.25","100","152","91","61","252","79.75","670","14.93","72.94","1258","966","627","219","26","106","109","48","46","1","1","79","189","128","49","252","89","62","96","39.24"
"693","Cale Makar","COL","D","217","5547.3833333333","68","180","91","89","248","59.76","653","10.41","47.11","1565","1002","568","97","33","126","60","29","29","0","0","72","203","180","153","119","350","0","0","-"
"595","Jesper Bratt","N.J","L","245","4542.1333333333","80","164","94","70","244","67.40","640","12.50","77.49","1220","937","757","298","47","124","36","17","17","0","0","41","151","91","186","217","79","8","17","32.00"
"752","Quinn Hughes","VAN","D","228","5775.3166666667","40","204","104","100","244","57.28","546","7.33","29.47","1401","822","415","35","20","110","101","45","43","1","1","51","194","124","71","307","185","0","0","-"
"876","Jack Hughes","N.J","C","202","4153.5833333333","97","146","93","53","243","75.00","839","11.56","87.61","1540","1104","809","253","41","143","36","17","17","0","0","65","243","146","28","213","53","533","915","36.81"
"378","Sam Reinhart","FLA","C","243","4906.3166666667","127","115","70","45","242","67.22","673","18.87","109.06","1277","1022","853","462","36","131","70","25","22","2","1","39","147","99","238","402","171","682","828","45.17"
"967","Tim Stützle","OTT","C, L","235","4867.2166666667","81","158","76","82","239","70.50","582","13.92","72.2","1135","821","679","266","30","105","128","60","59","0","1","113","199","132","342","430","131","636","770","45.23"
"449","Kyle Connor","WPG","L","229","4637.8666666667","106","132","75","57","238","71.26","761","13.93","81.94","1379","1027","790","280","38","113","51","24","23","1","0","31","151","114","78","163","87","5","17","22.73"
"670","Elias Pettersson","VAN","C","226","4449.9833333333","88","148","87","61","236","67.62","573","15.36","73.96","1142","861","644","251","29","83","40","20","20","0","0","89","122","128","272","300","229","1306","1454","47.32"
"673","Nick Suzuki","MTL","C","246","5118.45","89","143","83","60","232","68.04","519","17.15","61.1","965","739","564","229","36","80","77","31","29","1","1","59","201","114","182","292","168","2032","1998","50.42"
"675","Robert Thomas","STL","C","225","4528.3833333333","65","167","100","67","232","71.60","421","15.44","52.2","809","609","491","189","18","59","90","41","40","0","1","45","193","159","44","227","123","2255","1953","53.59"
"317","Jake Guentzel","CAR, PIT, T.B","C, L","225","4509.85","107","123","80","43","230","62.67","699","15.31","109.67","1241","981","893","486","20","148","92","45","45","0","0","75","153","102","159","357","122","191","232","45.15"
"465","Sebastian Aho","CAR","C","232","4581.0333333333","101","129","91","38","230","65.71","641","15.76","82.23","1224","960","718","322","44","91","124","59","59","0","0","67","213","136","166","244","65","1765","1522","53.70"
"347","Aleksander Barkov","FLA","C","208","4234.0166666667","66","163","93","70","229","70.03","551","11.98","65.47","1020","797","600","255","25","99","48","23","23","0","0","41","121","151","243","242","146","1941","1517","56.13"
"617","Brandon Hagel","T.B","L","245","4790.3333333333","91","138","90","48","229","67.75","590","15.42","84.91","1094","824","718","334","47","93","191","77","72","1","4","90","183","176","182","484","113","56","109","33.94"
"454","Jack Eichel","VGK","C","207","4131.2166666667","86","142","70","72","228","71.92","734","11.72","66.29","1193","936","569","219","42","88","41","15","13","1","1","55","186","135","107","230","165","1345","1610","45.52"
"221","Mark Scheifele","WPG","C","237","4828.5833333333","106","121","79","42","227","65.42","541","19.59","81.93","973","795","706","344","25","67","161","53","43","5","5","87","183","131","186","393","134","1809","1919","48.52"
"520","Kirill Kaprizov","MIN","L","183","3953.9666666667","111","116","81","35","227","74.43","683","16.25","89.61","1391","987","782","315","34","120","87","41","40","1","0","65","186","100","137","244","80","2","6","25.00"
"220","Mika Zibanejad","NYR","C","245","4774.6666666667","85","140","93","47","225","67.57","655","12.98","78.51","1237","1012","591","234","45","89","72","32","31","0","1","63","196","134","164","191","140","1789","1777","50.17"
"600","Tage Thompson","BUF","C, R","225","4161.9","120","102","61","41","222","70.25","783","15.33","76.09","1522","1106","715","257","40","115","117","46","41","3","2","56","115","92","204","224","84","1023","1353","43.06"
"216","Ryan Nugent-Hopkins","EDM","C","240","4673.5166666667","75","145","79","66","220","57.14","548","13.69","75.35","990","761","664","306","21","82","95","45","44","1","0","26","114","146","136","186","105","814","917","47.02"
"104","John Tavares","TOR","C","235","4208.6333333333","103","116","65","51","219","65.77","756","13.62","116.64","1290","1058","957","569","28","147","110","55","55","0","0","45","174","107","337","317","115","2290","1615","58.64"
"71","Steven Stamkos","NSH, T.B","C","242","4456.7166666667","101","117","65","52","218","63.19","676","14.94","79.24","1295","971","726","220","17","110","128","64","64","0","0","43","163","66","236","215","98","1254","1108","53.09"
"387","Dylan Larkin","DET","C","230","4581.9833333333","95","123","77","46","218","64.69","699","13.59","87.29","1346","1008","747","294","35","101","124","51","47","2","2","79","185","143","135","185","89","2324","1923","54.72"
"664","Nico Hischier","N.J","C","227","4474.7666666667","93","123","78","45","216","63.53","626","14.86","96.05","1091","870","769","414","50","117","42","20","20","0","0","82","122","143","121","278","111","2663","2155","55.27"
"397","Adrian Kempe","L.A","C, R","240","4547.65","104","111","68","43","215","68.91","733","14.19","73.57","1446","1061","671","220","30","113","163","70","67","1","2","69","141","68","330","194","76","30","58","34.09"
"472","Dylan Strome","WSH","C","245","4249.0166666667","79","135","82","53","214","71.33","473","16.70","68.91","855","677","584","303","16","111","80","40","40","0","0","29","156","107","55","135","153","1916","1773","51.94"
"10","Alex Ovechkin","WSH","L","217","4145.45","117","96","58","38","213","67.83","803","14.57","91.67","1691","1162","717","246","45","143","82","36","35","0","1","24","134","69","462","98","59","4","9","30.77"
"261","Filip Forsberg","NSH","L","214","3951.3333333333","98","114","62","52","212","70.90","785","12.48","87.07","1624","1178","752","293","46","145","107","52","51","1","0","78","222","148","378","202","113","15","25","37.50"
"753","Brady Tkachuk","OTT","L","235","4391.45","101","111","72","39","212","65.63","1000","10.10","130.68","1640","1393","1027","556","49","195","383","123","94","19","10","120","148","97","764","265","76","748","744","50.13"
"19","Anze Kopitar","L.A","C","244","4792.5166666667","75","136","82","54","211","65.53","400","18.75","51.13","719","567","440","232","11","58","30","11","10","0","1","35","151","125","136","204","146","2636","2069","56.03"
"77","Erik Karlsson","PIT, S.J","D","246","5995.7833333333","47","163","83","80","210","54.26","613","7.67","33.83","1561","892","455","59","41","145","100","46","45","0","1","37","312","175","102","316","212","0","1","0.00"
"585","Jordan Kyrou","STL","C, R","243","4359.05","104","106","66","40","210","72.66","762","13.65","71.95","1441","1052","806","230","44","88","64","32","32","0","0","47","187","126","90","289","96","13","25","34.21"
"357","Josh Morrissey","WPG","D","239","5800.1","40","167","82","85","207","53.35","540","7.41","33.21","1275","829","367","59","14","71","107","52","51","1","0","51","179","113","228","266","316","0","0","-"
"477","Roope Hintz","DAL","C","229","3944.6333333333","95","112","68","44","207","62.73","526","18.06","76.68","931","738","636","328","37","79","82","41","41","0","0","53","145","67","136","231","125","1025","870","54.09"
"685","Martin Necas","CAR, COL","C","238","4347.1166666667","79","128","81","47","207","67.21","665","11.88","64.25","1270","967","620","215","26","102","90","45","45","0","0","76","200","91","196","334","73","286","404","41.45"
"548","Adam Fox","NYR","D","228","5407.3166666667","39","167","83","84","206","55.53","431","9.05","35.14","969","623","379","80","27","69","102","51","51","0","0","48","183","175","109","277","335","0","0","-"
"385","Kevin Fiala","L.A","L","232","4192.5833333333","87","118","68","50","205","73.74","677","12.85","76.37","1345","1002","703","253","28","105","152","70","69","0","1","54","182","93","183","285","53","33","58","36.26"
"390","Alex Tuch","BUF","R","231","4459.0333333333","94","111","64","47","205","63.86","607","15.49","79.94","1111","908","641","302","58","89","121","49","43","5","1","42","145","195","199","155","235","151","217","41.03"
"471","Travis Konecny","PHI","R","218","4404.2833333333","88","117","81","36","205","78.85","623","14.13","69.94","1253","935","640","236","41","97","197","78","71","3","4","84","152","113","239","257","108","106","151","41.25"
"874","Matt Boldy","MIN","L","238","4580.45","87","118","66","52","205","66.13","754","11.54","87.43","1544","1155","829","297","26","137","138","64","62","2","0","54","175","155","149","366","124","172","182","48.59"
"164","Zach Hyman","EDM","L","232","4530.2833333333","117","87","50","37","204","47.55","777","15.06","132.49","1293","1081","1020","670","27","154","119","58","57","1","0","63","92","82","222","412","76","15","18","45.45"
"106","Matt Duchene","DAL, NSH","C","233","4046.25","77","126","70","56","203","71.23","492","15.65","64.39","963","719","559","228","31","85","64","27","26","0","1","33","196","92","86","217","95","937","799","53.97"
"557","Alex DeBrincat","DET, OTT","R","246","4491.1","93","110","78","32","203","64.65","744","12.50","85.88","1409","1053","781","259","25","137","108","39","33","4","2","75","149","122","208","246","110","52","63","45.22"
"11","Evgeni Malkin","PIT","C","232","4256.95","70","130","82","48","200","71.43","565","12.39","68.19","1072","769","626","252","21","115","194","85","83","0","2","85","240","202","114","243","117","1101","1189","48.08"
"152","Brock Nelson","COL, NYI","C","244","4507.55","96","104","65","39","200","66.67","665","14.44","76.35","1197","910","786","311","39","112","70","35","35","0","0","56","135","127","122","227","132","1476","1557","48.66"
"195","Vincent Trocheck","NYR","C","246","5073.3","73","127","81","46","200","56.66","642","11.37","94.39","1236","1012","835","404","27","117","157","71","66","5","0","73","195","138","570","331","203","2512","1808","58.15"
"773","Rasmus Dahlin","BUF","D","232","5840.4833333333","52","148","86","62","200","52.49","639","8.14","41.77","1285","870","416","83","31","104","212","98","96","0","2","73","210","126","400","458","371","0","0","-"
"110","Nazem Kadri","CGY","C","246","4509.1333333333","88","110","64","46","198","71.48","823","10.69","88.86","1561","1167","837","323","52","122","171","63","56","3","4","119","180","120","211","409","82","1857","2051","47.52"
"320","Carter Verhaeghe","FLA","C","238","4230.2166666667","96","102","56","46","198","64.92","763","12.58","89.08","1451","1040","837","327","31","132","128","64","64","0","0","53","176","97","187","351","69","73","96","43.20"
"947","Lucas Raymond","DET","L","238","4281.8166666667","75","122","64","58","197","68.88","489","15.34","60.16","938","684","565","225","34","92","72","34","34","0","0","88","132","109","154","343","79","10","25","28.57"
"714","Drake Batherson","OTT","R","246","4503.6","76","120","81","39","196","68.06","637","11.93","81.15","1188","940","705","325","44","91","105","47","45","1","1","52","130","107","361","270","93","63","92","40.65"
"354","Bo Horvat","NYI, VAN","C","241","4860.9166666667","99","96","58","38","195","61.71","720","13.75","84.34","1234","1000","785","327","35","111","73","31","29","1","1","44","172","95","218","198","131","2490","1933","56.30"
