"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"238","Scott Laughton","PHI, TOR","C","240","429.65","6","11","10","1","17","100.00","44","13.64","6.25","59","55","38","21","9","2","12","6","6","0","0","7","9","18","9","6","25","189","218","46.44"
"447","Travis Konecny","PHI","R","218","329.76666666667","10","6","4","2","16","88.89","45","22.22","4.64","68","59","42","20","10","2","10","5","5","0","0","3","8","15","30","4","20","9","12","42.86"
"194","Jean-Gabriel Pageau","NYI","C","231","429.3","5","9","9","0","14","82.35","36","13.89","3.35","47","45","23","11","7","1","10","1","0","0","1","2","7","13","9","9","37","259","247","51.19"
"209","Mika Zibanejad","NYR","C","245","476.18333333333","3","11","8","3","14","73.68","30","10.00","3.1","51","48","27","10","9","4","2","1","1","0","0","9","10","34","3","9","26","207","289","41.73"
"215","J.T. Miller","NYR, VAN","C","234","310.16666666667","6","8","8","0","14","93.33","13","46.15","2.1","23","21","13","8","10","0","14","7","7","0","0","8","3","16","16","6","23","184","189","49.33"
"361","Sam Reinhart","FLA","C","243","418.81666666667","10","4","4","0","14","87.50","31","32.26","3.85","50","41","33","13","7","3","4","2","2","0","0","6","11","16","11","3","29","98","148","39.84"
"110","Chris Kreider","NYR","L","229","375.61666666667","10","3","2","1","13","86.67","57","17.54","6.77","83","76","54","31","13","2","6","3","3","0","0","7","11","12","4","4","9","6","14","30.00"
"441","Sebastian Aho","CAR","C","232","408.28333333333","7","6","6","0","13","92.86","38","18.42","5.23","63","49","45","27","11","4","8","3","3","0","0","2","10","18","9","16","12","78","86","47.56"
"580","Brandon Hagel","T.B","L","245","482.56666666667","4","8","8","0","12","85.71","47","8.51","6.39","78","67","52","23","11","5","4","2","2","0","0","10","7","34","5","21","17","3","3","50.00"
"758","Yegor Sharangovich","CGY, N.J","C","230","325.65","6","6","5","1","12","92.31","30","20.00","2.83","41","35","28","11","10","2","2","1","1","0","0","5","7","21","4","6","4","24","25","48.98"
"142","Charlie Coyle","BOS, COL","C","247","577.83333333333","3","8","7","1","11","91.67","33","9.09","3.27","48","43","23","14","10","2","10","5","5","0","0","7","9","32","19","5","32","234","291","44.57"
"192","Blake Coleman","CGY","C, L","242","394.81666666667","7","4","4","0","11","91.67","37","18.92","4.65","56","49","38","23","5","4","21","9","8","1","0","5","10","16","14","6","20","7","10","41.18"
"373","Alex Tuch","BUF","R","231","395.38333333333","8","3","3","0","11","68.75","51","15.69","5.3","67","61","42","19","9","5","4","2","2","0","0","0","4","34","18","5","29","39","49","44.32"
"481","Anthony Cirelli","T.B","C","217","474.5","8","3","3","0","11","73.33","41","19.51","6.47","58","50","40","21","7","4","6","3","3","0","0","13","7","18","4","8","31","207","241","46.21"
"626","Elias Pettersson","VAN","C","226","296.98333333333","5","6","6","0","11","91.67","29","17.24","3.72","36","34","24","16","8","2","4","2","2","0","0","7","8","16","20","8","25","43","56","43.43"
"696","Ryan McLeod","BUF, EDM","C","217","375.36666666667","5","6","5","1","11","84.62","23","21.74","2.25","39","30","17","7","4","1","0","0","0","0","0","6","14","11","1","9","13","147","172","46.08"
"822","Simon Holmstrom","NYI","R","200","218.18333333333","6","5","5","0","11","91.67","18","33.33","1.93","26","22","16","9","4","1","2","1","1","0","0","4","4","12","2","2","9","1","5","16.67"
"869","Seth Jarvis","CAR","C","236","314.21666666667","8","3","2","1","11","100.00","37","21.62","3.21","46","44","28","13","0","4","2","1","1","0","0","5","10","16","8","14","30","54","88","38.03"
"190","Adam Lowry","WPG","C","236","503.45","4","5","5","0","9","90.00","26","15.38","4.18","39","34","21","11","7","2","7","2","1","1","0","2","9","11","10","8","42","269","381","41.38"
"202","William Karlsson","VGK","C","205","335.08333333333","5","4","3","1","9","100.00","23","21.74","2.75","35","31","22","13","1","1","0","0","0","0","0","5","7","11","3","6","23","105","108","49.30"
"205","Ryan Nugent-Hopkins","EDM","C","240","432.96666666667","3","6","6","0","9","100.00","20","15.00","1.86","33","23","15","10","6","0","4","2","2","0","0","5","5","21","9","5","20","103","157","39.62"
"246","Teuvo Teravainen","CAR, CHI","C, L","226","354.38333333333","3","6","6","0","9","69.23","24","12.50","2.63","42","36","24","9","5","1","2","1","1","0","0","0","8","13","2","4","13","15","19","44.12"
"334","Elias Lindholm","BOS, CGY, VAN","C","237","501.11666666667","3","6","4","2","9","75.00","26","11.54","3.27","44","41","28","10","5","2","4","2","2","0","0","5","7","12","26","6","22","299","297","50.17"
"338","Bo Horvat","NYI, VAN","C","241","264.13333333333","7","2","2","0","9","100.00","28","25.00","2.8","34","31","21","5","4","2","0","0","0","0","0","4","6","8","4","1","12","167","162","50.76"
"417","Jake Evans","MTL","C","218","645.7","4","5","4","1","9","69.23","27","14.81","2.53","38","32","22","10","4","0","8","3","3","0","0","10","10","16","11","13","46","325","383","45.90"
"453","Roope Hintz","DAL","C","229","250.56666666667","7","2","2","0","9","90.00","25","28.00","5.91","39","38","25","17","8","4","0","0","0","0","0","3","5","9","2","7","9","38","28","57.58"
"38","Jordan Staal","CAR","C","236","530.46666666667","4","4","3","1","8","88.89","32","12.50","4.53","45","43","29","14","8","1","10","5","5","0","0","8","10","19","15","8","29","367","365","50.14"
"188","Vincent Trocheck","NYR","C","246","377.66666666667","7","1","1","0","8","61.54","27","25.93","4.26","42","42","25","8","6","2","4","2","2","0","0","4","8","16","6","6","25","188","146","56.29"
"255","Chandler Stephenson","SEA, VGK","C","234","388.61666666667","5","3","2","1","8","72.73","19","26.32","2.63","26","26","16","15","9","1","0","0","0","0","0","2","3","21","9","3","19","165","187","46.88"
"331","Aleksander Barkov","FLA","C","208","393.03333333333","2","6","6","0","8","100.00","26","7.69","3.53","36","33","22","13","4","2","0","0","0","0","0","1","3","25","8","7","25","167","167","50.00"
"380","Adrian Kempe","L.A","C, R","240","367.61666666667","7","1","1","0","8","100.00","33","21.21","3.88","50","44","25","13","5","1","6","3","3","0","0","6","8","16","17","4","10","2","3","40.00"
"430","Connor McDavid","EDM","C","225","140.36666666667","5","3","3","0","8","88.89","13","38.46","2.9","22","18","16","9","7","1","0","0","0","0","0","4","1","14","3","0","2","48","54","47.06"
"470","Mitch Marner","TOR","R","230","500.25","6","2","2","0","8","88.89","46","13.04","6","66","56","37","24","14","3","2","1","1","0","0","9","11","33","2","14","20","2","13","13.33"
"520","Adam Fox","NYR","D","228","436.96666666667","2","6","3","3","8","66.67","32","6.25","1.54","39","32","12","3","7","1","10","5","5","0","0","4","10","20","11","4","44","0","0","-"
"646","Ryan Poehling","PHI, PIT","C","198","364.1","5","3","2","1","8","88.89","22","22.73","2.43","30","27","19","12","2","1","2","1","1","0","0","5","1","13","4","6","41","165","216","43.31"
"59","Mikael Backlund","CGY","C","240","549.93333333333","3","4","4","0","7","70.00","70","4.29","6.48","104","89","47","15","15","3","6","3","3","0","0","7","17","20","9","5","19","280","390","41.79"
"112","Reilly Smith","NYR, PIT, VGK","R","233","292.66666666667","6","1","1","0","7","77.78","25","24.00","2.66","34","32","23","10","1","1","0","0","0","0","0","3","8","9","6","5","7","2","3","40.00"
"175","Mark Stone","VGK","R","165","217.71666666667","4","3","3","0","7","87.50","17","23.53","1.61","25","19","14","9","3","2","2","1","1","0","0","2","1","19","4","4","12","0","1","0.00"
"244","Tom Wilson","WSH","R","188","313.73333333333","4","3","3","0","7","100.00","17","23.53","2.06","30","27","15","8","2","1","20","6","5","0","1","9","10","12","16","6","33","15","26","36.59"
"270","Jaccob Slavin","CAR","D","237","655.66666666667","2","5","1","4","7","46.67","23","8.70","1.24","32","27","10","6","10","2","2","1","1","0","0","7","12","40","24","10","63","0","0","-"
"279","Alexander Kerfoot","ARI, TOR, UTA","C","245","550.56666666667","5","2","2","0","7","77.78","29","17.24","3.25","43","39","18","13","5","1","4","2","2","0","0","5","11","20","13","22","36","114","147","43.68"
"301","Pavel Buchnevich","STL","L","219","327.6","2","5","4","1","7","87.50","14","14.29","2.31","28","26","18","12","7","1","4","2","2","0","0","2","8","25","8","5","16","6","14","30.00"
"303","Mattias Janmark","EDM","C","217","385.21666666667","3","4","4","0","7","70.00","23","13.04","3.43","34","33","25","19","3","3","2","1","1","0","0","2","7","11","8","15","18","12","28","30.00"
"372","Travis Sanheim","PHI","D","244","557.58333333333","2","5","2","3","7","50.00","19","10.53","2.06","32","26","19","8","5","1","6","3","3","0","0","6","15","22","16","9","72","0","0","-"
"538","Sam Steel","DAL, MIN","C","221","356.2","4","3","2","1","7","70.00","22","18.18","2.4","25","23","13","9","5","0","4","2","2","0","0","4","5","9","5","11","13","53","85","38.41"
"620","Nico Hischier","N.J","C","227","422.05","4","3","3","0","7","87.50","26","15.38","3.42","40","32","25","12","11","4","0","0","0","0","0","8","8","25","2","8","19","231","216","51.68"
"647","Cale Makar","COL","D","217","533.48333333333","3","4","2","2","7","63.64","28","10.71","1.27","40","35","12","3","10","2","6","3","3","0","0","6","9","17","16","3","65","0","0","-"
"767","Logan O'Connor","COL","R","219","435.95","5","2","1","1","7","77.78","28","17.86","3.27","40","33","27","16","4","3","2","1","1","0","0","3","1","20","9","12","31","39","51","43.33"
"22","Andrew Cogliano","COL","C","154","319.58333333333","1","5","5","0","6","100.00","14","7.14","1.42","18","16","11","5","1","1","12","2","1","0","1","12","3","7","3","4","20","48","90","34.78"
"29","Brad Marchand","BOS, FLA","L","226","349.98333333333","3","3","3","0","6","85.71","27","11.11","3.19","48","38","30","8","6","4","16","8","8","0","0","8","14","15","30","7","21","7","8","46.67"
"44","Jamie Benn","DAL","L","244","208.3","3","3","3","0","6","85.71","11","27.27","0.9","13","11","8","6","3","0","2","1","1","0","0","1","1","13","6","4","18","60","46","56.60"
"83","Adam Henrique","ANA, EDM","C","225","459.01666666667","3","3","3","0","6","75.00","23","13.04","2.41","31","28","11","5","6","0","0","0","0","0","0","3","4","21","5","4","47","276","330","45.54"
"85","Gustav Nyquist","CBJ, MIN, NSH","C, L, R","211","236.58333333333","4","2","2","0","6","100.00","21","19.05","2.7","32","29","20","9","5","1","2","1","1","0","0","3","2","11","5","3","3","1","4","20.00"
"216","Joel Armia","MTL","R","190","483.23333333333","6","0","0","0","6","46.15","32","18.75","1.59","43","38","17","4","5","1","4","2","2","0","0","6","14","18","15","6","20","1","9","10.00"
