"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"203","Nikita Kucherov","T.B","R","241","956.45","29","120","72","48","149","86.13","224","12.95","25.2","440","323","169","30","2","31","18","9","9","0","0","6","62","13","13","33","1","0","0","-"
"431","Connor McDavid","EDM","C","225","797.36666666667","37","109","70","39","146","80.66","214","17.29","31.23","356","267","232","72","3","32","16","8","8","0","0","7","42","11","10","40","2","67","56","54.47"
"363","Leon Draisaitl","EDM","C","232","824.93333333333","69","66","37","29","135","72.58","254","27.17","41.37","439","364","224","80","1","38","14","7","7","0","0","3","35","9","3","29","1","492","361","57.68"
"331","Nathan MacKinnon","COL","C","232","963.31666666667","31","89","44","45","120","71.86","289","10.73","31.11","510","386","226","36","1","32","6","3","3","0","0","10","38","5","8","27","0","172","159","51.96"
"484","Artemi Panarin","NYR","L","244","838.58333333333","28","78","38","40","106","75.18","213","13.15","23.59","516","330","215","22","0","36","10","5","5","0","0","2","36","6","5","13","6","0","1","0.00"
"655","Cale Makar","COL","D","217","849.21666666667","24","80","46","34","104","73.76","173","13.87","15.53","405","270","138","14","2","33","8","4","4","0","0","2","20","12","8","8","15","0","0","-"
"440","Mikko Rantanen","CAR, COL, DAL","R","244","1025.9166666667","38","65","41","24","103","65.19","207","18.36","32.2","422","314","231","70","5","26","12","6","6","0","0","3","33","11","14","38","1","167","165","50.30"
"709","Quinn Hughes","VAN","D","228","894.88333333333","11","90","46","44","101","76.52","142","7.75","10.2","340","208","95","5","1","32","10","5","5","0","0","4","24","10","5","21","8","0","0","-"
"204","Ryan Nugent-Hopkins","EDM","C","240","827.48333333333","26","73","30","43","99","54.70","137","18.98","20.76","245","185","182","63","0","17","8","4","4","0","0","1","23","9","10","13","3","20","27","42.55"
"473","Mitch Marner","TOR","R","230","748.55","23","73","39","34","96","67.13","111","20.72","14.85","235","148","119","28","0","29","10","5","5","0","0","3","41","11","4","20","1","0","0","-"
"67","Steven Stamkos","NSH, T.B","C","242","883.96666666667","47","48","24","24","95","60.90","274","17.15","33.26","514","390","253","26","1","37","16","8","8","0","0","1","30","3","11","28","2","229","182","55.72"
"380","David Pastrnak","BOS","R","246","908.45","39","56","29","27","95","74.22","294","13.27","32.09","575","412","232","50","3","42","20","10","10","0","0","6","59","9","9","51","6","1","3","25.00"
"366","William Nylander","TOR","R","246","834.26666666667","32","61","32","29","93","63.27","199","16.08","27.75","389","291","211","66","3","30","4","2","2","0","0","0","28","5","1","29","3","12","10","54.55"
"392","Brayden Point","T.B","C","240","876.61666666667","51","42","24","18","93","57.76","181","28.18","37.73","326","259","299","164","1","40","4","2","2","0","0","2","23","8","5","26","6","137","140","49.46"
"214","J.T. Miller","NYR, VAN","C","234","840.38333333333","26","66","44","22","92","71.32","181","14.36","25.63","350","273","197","85","1","34","13","5","4","1","0","4","28","9","12","31","3","313","197","61.37"
"362","Sam Reinhart","FLA","C","243","893.03333333333","56","35","21","14","91","61.07","204","27.45","45.89","380","318","318","205","2","40","10","5","5","0","0","0","20","3","11","41","4","118","140","45.74"
"516","Matthew Tkachuk","FLA","L","211","846.71666666667","31","60","34","26","91","68.42","252","12.30","47.37","413","349","277","198","4","59","8","4","4","0","0","2","33","5","7","22","0","2","9","18.18"
"208","Mika Zibanejad","NYR","C","245","804.03333333333","39","50","27","23","89","66.42","236","16.53","32.83","445","367","187","56","0","31","6","3","3","0","0","2","30","6","4","18","1","109","82","57.07"
"820","Jack Hughes","N.J","C","202","681.15","24","65","37","28","89","74.79","185","12.97","21.25","355","236","168","34","2","33","4","2","2","0","0","7","56","5","3","33","0","35","44","44.30"
"640","Jason Robertson","DAL","L","246","753.73333333333","31","57","24","33","88","69.84","217","14.29","28.21","397","291","221","68","1","36","10","5","5","0","0","4","17","8","7","23","1","0","0","-"
"332","Aleksander Barkov","FLA","C","208","754.86666666667","22","65","30","35","87","68.50","156","14.10","18.78","286","217","149","49","1","23","2","1","1","0","0","3","19","9","7","34","6","420","256","62.13"
"496","Kirill Kaprizov","MIN","L","183","708.76666666667","40","47","35","12","87","79.09","225","17.78","38.24","437","326","270","110","4","55","4","2","2","0","0","6","27","5","4","24","2","0","0","-"
"535","Clayton Keller","ARI, UTA","R","241","799.76666666667","25","62","34","28","87","75.00","150","16.67","16.96","276","220","112","15","1","23","12","6","6","0","0","3","32","7","2","30","1","11","18","37.93"
"371","Dylan Larkin","DET","C","230","751.86666666667","43","41","19","22","84","65.63","196","21.94","34.12","342","269","268","125","2","31","22","7","6","0","1","11","25","7","2","16","1","464","317","59.41"
