"","Player","Player 2","Team","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"1","Esa Lindell","Miro Heiskanen","DAL","77","218.48333333333","38","355","9.67","35","273","11.36","29","171","14.50","2","27","6.90","2.35","35.37","6.22","12","219","5.19","10","107","8.55","1","14","6.67","2","112","1.75","0","7","0.00","11","253","4.17","1","6","14.29","6.90","84.21","0.911","0","17","113","3","0.00","8","27","219","3.52"
"2","Brady Skjei","Nick Perbix","NSH","79","191.9","44","295","12.98","38","238","13.77","28","161","14.81","4","23","14.81","2.92","29.2","9.09","16","201","7.37","5","114","4.20","3","13","18.75","11","87","11.22","1","6","14.29","19","204","8.52","0","4","0.00","14.29","85.71","1.000","1","22","135","55","0.74","8","35","233","3.32"
"3","Ian Cole","Mikhail Sergachev","UTA","78","185.35","41","351","10.46","37","267","12.17","27","164","14.14","2","22","8.33","1.64","30.8","5.06","14","201","6.51","8","97","7.62","2","11","15.38","6","104","5.45","0","5","0.00","9","265","3.28","0","6","0.00","7.41","86.59","0.940","0","18","132","30","0.00","4","29","233","1.69"
"4","Travis Sanheim","Cam York","PHI","74","181.96666666667","37","308","10.72","34","227","13.03","31","149","17.22","2","26","7.14","1.88","24.47","7.13","10","187","5.08","5","75","6.25","1","10","9.09","5","112","4.27","0","9","0.00","12","226","5.04","1","7","12.50","6.45","82.55","0.890","2","23","114","40","1.72","6","37","222","2.63"
"5","Mike Matheson","Alexandre Carrier","MTL","70","176","35","335","9.46","33","245","11.87","26","173","13.07","1","32","3.03","2.14","28.71","6.93","13","207","5.91","7","78","8.24","0","10","0.00","6","129","4.44","1","11","8.33","10","226","4.24","0","11","0.00","3.85","81.50","0.853","0","14","109","9","0.00","4","23","226","1.74"
"6","Aaron Ekblad","Gustav Forsling","FLA","71","175.4","33","314","9.51","27","233","10.38","18","148","10.84","0","23","0.00","2.06","26.64","7.19","19","179","9.60","9","79","10.23","0","9","0.00","10","100","9.09","0","6","0.00","12","242","4.72","0","8","0.00","0.00","84.46","0.845","1","20","122","37","0.81","3","28","176","1.68"
"7","Jake Sanderson","Artem Zub","OTT","66","168.45","22","255","7.94","20","188","9.62","17","135","11.18","3","28","9.68","2.56","20.81","10.93","13","142","8.39","10","52","16.13","3","11","21.43","3","90","3.23","0","10","0.00","4","195","2.01","0","7","0.00","17.65","79.26","0.969","3","19","122","34","2.40","7","31","212","3.20"
"8","Adam Pelech","Ryan Pulock","NYI","76","167.15","36","338","9.63","33","264","11.11","24","193","11.06","5","27","15.63","2.16","34.39","5.92","16","219","6.81","6","110","5.17","2","9","18.18","10","109","8.40","2","13","13.33","8","204","3.77","1","5","16.67","20.83","86.01","1.068","1","18","115","34","0.86","5","27","200","2.44"
"9","Adam Larsson","Ryan Lindgren","SEA","76","152.06666666667","19","295","6.05","18","215","7.73","18","133","11.92","1","26","3.70","0.63","23.54","2.59","4","178","2.20","1","61","1.61","0","11","0.00","3","117","2.50","0","7","0.00","4","244","1.61","0","8","0.00","5.56","80.45","0.860","0","12","109","11","0.00","2","19","197","1.01"
"10","Connor Murphy","Alex Vlasic","CHI","59","148.48333333333","24","228","9.52","23","177","11.50","13","118","9.92","1","16","5.88","1.43","21.36","6.26","11","139","7.33","5","74","6.33","0","11","0.00","6","65","8.45","1","3","25.00","11","189","5.50","0","2","0.00","7.69","86.44","0.941","0","18","111","15","0.00","8","29","173","4.42"
"11","Vincent Desharnais","Mario Ferraro","S.J","53","148.1","18","275","6.14","18","204","8.11","13","142","8.39","1","14","6.67","1.45","23.55","5.79","8","162","4.71","6","68","8.11","1","5","16.67","2","94","2.08","0","5","0.00","5","206","2.37","0","4","0.00","7.69","90.14","0.978","0","6","99","3","0.00","3","15","165","1.79"
"12","Colton Parayko","Philip Broberg","STL","76","129.83333333333","26","230","10.16","22","185","10.63","17","131","11.49","2","18","10.00","1.5","18.4","7.55","8","142","5.33","3","52","5.45","1","13","7.14","5","90","5.26","0","3","0.00","11","162","6.36","0","2","0.00","11.76","86.26","0.980","1","20","93","32","1.06","6","25","144","4.00"
"13","Mattias Ekholm","Evan Bouchard","EDM","82","125.2","29","232","11.11","23","181","11.27","20","123","13.99","2","16","11.11","1.1","22.27","4.73","10","159","5.92","4","68","5.56","1","10","9.09","6","91","6.19","1","3","25.00","9","146","5.81","0","3","0.00","10.00","86.99","0.970","2","12","115","51","1.71","4","17","153","2.55"
"14","Vladislav Gavrikov","Braden Schneider","NYR","82","124.73333333333","23","219","9.50","21","184","10.24","18","123","12.77","1","13","7.14","0.8","21.25","3.61","6","141","4.08","2","72","2.70","1","10","9.09","4","69","5.48","0","1","0.00","8","148","5.13","0","2","0.00","5.56","89.43","0.950","1","15","84","34","1.18","5","24","132","3.65"
"15","Erik Karlsson","Parker Wotherspoon","PIT","75","120.78333333333","16","214","6.96","15","166","8.29","10","94","9.62","1","11","8.33","0.74","15.94","4.44","6","132","4.35","2","52","3.70","1","4","20.00","4","80","4.76","0","2","0.00","6","150","3.85","0","5","0.00","10.00","88.30","0.983","1","13","77","35","1.28","4","23","128","3.03"
