"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"42","Karel Vejmelka","UTA","64","3692.75","1627","1458","169","0.896","2.75","1.11","187.58","441","351","90","0.796","1.46","-7.26","428","375","53","0.876","0.86","2.08","658","632","26","0.960","0.42","2.94","69","345","35.91","18.91"
"24","Juuse Saros","NSH","59","3433.45","1699","1518","181","0.893","3.16","-3.36","172.56","484","380","104","0.785","1.82","-13.19","451","403","48","0.894","0.84","10.04","697","668","29","0.958","0.51","1.65","53","290","33.50","18.61"
"60","Logan Thompson","WSH","58","3445.05","1587","1447","140","0.912","2.44","25.93","188.23","451","375","76","0.831","1.32","8.62","397","358","39","0.902","0.68","12.09","662","637","25","0.962","0.44","4.11","54","352","34.55","19.91"
"17","Andrei Vasilevskiy","T.B","58","3430.75","1484","1352","132","0.911","2.31","23.16","162.85","414","351","63","0.848","1.10","14.68","410","369","41","0.900","0.72","11.77","586","558","28","0.952","0.49","-2.23","61","284","35.35","21.87"
"16","John Gibson","DET","57","3181.2333333333","1462","1318","144","0.902","2.72","8.86","161.94","375","307","68","0.819","1.28","2.36","400","353","47","0.883","0.89","4.48","625","596","29","0.954","0.55","-1.51","52","291","34.75","22.49"
"73","Dustin Wolf","CGY","57","3149.2333333333","1557","1399","158","0.899","3.01","4.80","161.48","418","333","85","0.797","1.62","-6.57","420","368","52","0.876","0.99","2.05","630","609","21","0.967","0.40","6.71","35","296","34.78","18.50"
"21","Connor Hellebuyck","WPG","57","3401.45","1546","1384","162","0.895","2.86","-0.35","176.22","427","347","80","0.813","1.41","0.12","425","365","60","0.859","1.06","-5.30","632","610","22","0.965","0.39","5.79","37","343","34.09","20.27"
"61","Lukas Dostal","ANA","56","3267.9333333333","1513","1344","169","0.888","3.10","-10.80","181.02","448","368","80","0.821","1.47","4.06","440","380","60","0.864","1.10","-3.37","552","523","29","0.947","0.53","-4.72","63","321","33.86","20.91"
"59","Jeremy Swayman","BOS","55","3235.2833333333","1570","1424","146","0.907","2.71","18.15","186.35","452","379","73","0.838","1.35","11.81","410","374","36","0.912","0.67","16.77","641","604","37","0.942","0.69","-8.81","59","352","33.74","21.60"
"88","Jet Greaves","CBJ","55","3276.1","1533","1391","142","0.907","2.60","18.29","163.01","412","348","64","0.845","1.17","13.30","386","343","43","0.889","0.79","6.68","663","629","34","0.949","0.62","-4.84","47","287","36.05","22.87"
"35","Ilya Sorokin","NYI","55","3226.1666666667","1529","1385","144","0.906","2.68","15.87","186.07","505","439","66","0.869","1.23","28.75","402","348","54","0.866","1.00","-2.26","552","528","24","0.957","0.45","0.28","47","348","31.91","20.22"
"67","Spencer Knight","CHI","55","3293.25","1583","1428","155","0.902","2.82","10.51","178.18","485","413","72","0.852","1.31","19.00","399","340","59","0.852","1.07","-7.65","608","584","24","0.961","0.44","2.74","42","339","33.83","19.59"
"53","Jake Oettinger","DAL","54","3194.1833333333","1372","1234","138","0.899","2.59","5.45","151.12","366","302","64","0.825","1.20","4.67","343","291","52","0.848","0.98","-7.86","584","562","22","0.962","0.41","3.68","53","262","37.21","21.69"
"39","Dan Vladar","PHI","52","2995.2166666667","1281","1160","121","0.906","2.42","12.94","137.43","310","258","52","0.832","1.04","6.16","346","296","50","0.855","1.00","-5.47","564","545","19","0.966","0.38","5.80","55","265","35.88","21.93"
