"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"308","A.J. Greer","FLA","L","29","1996-12-14","Joliette","QC","CAN","CAN","75","208","2015","COL","2","9","39"
"245","Aaron Ekblad","FLA","D","30","1996-02-07","Windsor","ON","CAN","CAN","76","215","2014","FLA","1","1","1"
"713","Aatu Raty","VAN","C","23","2002-11-14","Oulu","","FIN","FIN","74","190","2021","NYI","2","20","52"
"831","Abram Wiebe","CGY","D","22","2003-08-28","Mission","","CAN","","74","187","2022","VGK","7","16","209"
"515","Adam Boqvist","NYI","D","25","2000-08-15","Falun","","SWE","SWE","72","182","2018","CHI","1","8","8"
"616","Adam Edstrom","NYR","C","25","2000-10-12","","","SWE","SWE","79","220","2019","NYR","6","6","161"
"826","Adam Engstrom","MTL","D","22","2003-11-17","","","SWE","","74","193","2022","MTL","3","27","92"
"212","Adam Erne","DAL","L","31","1995-04-20","New Haven","CT","USA","USA","73","212","2013","T.B","2","3","33"
"859","Adam Fantilli","CBJ","C","21","2004-10-12","","","CAN","","74","194","2023","CBJ","1","3","3"
"368","Adam Fox","NYR","D","28","1998-02-17","Jericho","NY","USA","USA","71","182","2016","CGY","3","5","66"
"351","Adam Gaudette","S.J","R","29","1996-10-03","Braintree","MA","USA","USA","73","194","2015","VAN","5","28","149"
"517","Adam Ginning","PHI","D","26","2000-01-13","Linkoping","","SWE","SWE","75","188","2018","PHI","2","19","50"
"36","Adam Henrique","EDM","C","36","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"820","Adam Klapka","CGY","R","25","2000-09-14","Praha","","CZE","CZE","80","235","-","-","-","-","-"
"124","Adam Larsson","SEA","D","33","1992-11-12","Skellefteå","","SWE","SWE","75","209","2011","N.J","1","4","4"
"109","Adam Lowry","WPG","C","33","1993-03-29","St. Louis","MO","USA","USA","78","208","2011","WPG","3","6","67"
"169","Adam Pelech","NYI","D","31","1994-08-16","Toronto","ON","CAN","CAN","75","210","2012","NYI","3","4","65"
"822","Adam Sykora","NYR","L","21","2004-09-07","Piestany","","SVK","SVK","70","179","2022","NYR","2","31","63"
"692","Adam Wilsby","NSH","D","25","2000-08-07","Stockholm","","SWE","SWE","73","188","2020","NSH","4","8","101"
"263","Adrian Kempe","L.A","R","29","1996-09-13","Kramfors","","SWE","SWE","74","200","2014","L.A","1","29","29"
"600","Albert Johansson","DET","D","25","2001-01-04","Karlstad","","SWE","SWE","72","168","2019","DET","2","29","60"
"502","Alec Regula","EDM","D","25","2000-08-06","West Bloomfield","MI","USA","USA","76","208","2018","DET","3","5","67"
"782","Aleksanteri Kaskimaki","STL","C","22","2004-02-06","","","FIN","","71","181","2022","STL","3","8","73"
"420","Alex Barré-Boulet","COL","C","29","1997-05-21","Montmagny","QC","CAN","CAN","70","180","-","-","-","-","-"
"834","Alex Bump","PHI","L","22","2003-11-20","","","USA","","72","195","2022","PHI","5","4","133"
"372","Alex DeBrincat","DET","R","28","1997-12-18","Farmington Hills","MI","USA","USA","68","178","2016","CHI","2","9","39"
"462","Alex Iafallo","WPG","L","32","1993-12-21","Eden","NY","USA","USA","72","200","-","-","-","-","-"
"15","Alex Killorn","ANA","L","36","1989-09-14","Halifax","NS","CAN","CAN","73","194","2007","T.B","3","16","77"
"664","Alex Laferriere","L.A","R","24","2001-10-28","Chatham","NJ","USA","USA","72","173","2020","L.A","3","21","83"
"603","Alex Newhook","MTL","C","25","2001-01-28","St. John's","NL","CAN","CAN","70","190","2019","COL","1","16","16"
"3","Alex Ovechkin","WSH","L","40","1985-09-17","Moscow","","RUS","RUS","75","238","2004","WSH","1","1","1"
"80","Alex Petrovic","DAL","D","34","1992-03-03","Edmonton","AB","CAN","CAN","76","220","2010","FLA","2","6","36"
"699","Alex Steeves","BOS","C","26","1999-12-10","Bedford","NH","USA","USA","72","196","-","-","-","-","-"
"256","Alex Tuch","BUF","R","30","1996-05-10","Syracuse","NY","USA","USA","76","219","2014","MIN","1","18","18"
"562","Alex Turcotte","L.A","C","25","2001-02-26","Elk Grove","IL","USA","USA","71","185","2019","L.A","1","5","5"
"580","Alex Vlasic","CHI","D","25","2001-06-05","Wilmette","IL","USA","USA","78","199","2019","CHI","2","12","43"
"654","Alexander Holtz","VGK","R","24","2002-01-23","Stockholm","","SWE","SWE","72","195","2020","N.J","1","7","7"
"184","Alexander Kerfoot","UTA","C","31","1994-08-11","Vancouver","BC","CAN","CAN","71","186","2012","N.J","5","29","150"
"641","Alexander Nikishin","CAR","D","24","2001-10-02","","","RUS","","76","216","2020","CAR","3","7","69"
"531","Alexander Romanov","NYI","D","26","2000-01-06","Moscow","","RUS","RUS","73","215","2018","MTL","2","7","38"
"230","Alexander Wennberg","S.J","C","31","1994-09-22","Stockholm","","SWE","SWE","74","190","2013","CBJ","1","14","14"
"345","Alexandre Carrier","MTL","D","29","1996-10-08","Quebec City","QC","CAN","CAN","71","174","2015","NSH","4","24","115"
"458","Alexandre Texier","MTL, STL","L","26","1999-09-13","St. Martin D'heres","","FRA","FRA","73","186","2017","CBJ","2","14","45"
"474","Alexey Toropchenko","STL","R","26","1999-06-25","Moscow","","RUS","RUS","78","222","2017","STL","4","20","113"
"645","Alexis Lafrenière","NYR","L","24","2001-10-11","St-Eustache","QC","CAN","CAN","73","195","2020","NYR","1","1","1"
"607","Aliaksei Protas","WSH","C, L","25","2001-01-06","VITEBSK","","BLR","BLR","78","225","2019","WSH","3","29","91"
"63","Anders Lee","NYI","L","35","1990-07-03","Edina","MN","USA","USA","75","235","2009","NYI","6","1","152"
"207","Andre Burakovsky","CHI","L","31","1995-02-09","Klagenfurt","","AUT","SWE","75","209","2013","WSH","1","23","23"
"617","Andre Lee","L.A","L","25","2000-07-26","Karlstad","","Swe","","77","206","2019","L.A","7","2","188"
"266","Andreas Englund","NSH","D","30","1996-01-21","Stockholm","","SWE","SWE","75","189","2014","OTT","2","10","40"
"842","Andrei Kuzmenko","L.A","L","30","1996-02-04","YAKUTSK","","RUS","RUS","71","194","-","-","-","-","-"
"501","Andrei Svechnikov","CAR","R","26","2000-03-26","Barnual","","RUS","RUS","74","195","2018","CAR","1","2","2"
"68","Andrew Agozzino","UTA","L","35","1991-01-03","Kleinburg","ON","CAN","CAN","70","187","-","-","-","-","-"
"205","Andrew Copp","DET","C","31","1994-07-08","Ann Arbor","MI","USA","USA","73","199","2013","WPG","4","13","104"
"293","Andrew Mangiapane","CHI, EDM","L","30","1996-04-04","Toronto","ON","CAN","CAN","70","184","2015","CGY","6","15","166"
"382","Andrew Peeke","BOS","D","28","1998-03-17","Parkland","FL","USA","USA","75","210","2016","CBJ","2","4","34"
"830","Angus Booth","L.A","D","-","-","-","-","-","-","-","-","-","-","-","-","-"
