"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"300","Connor McDavid","EDM","C","82","1885.45","48","90","57","33","138","80.70","307","15.64","42.05","508","425","338","144","6","54","44","22","22","0","0","56","134","32","40","94","30","457","466","49.51"
"120","Nikita Kucherov","T.B","R","76","1545.4666666667","44","86","51","35","130","80.75","231","19.05","32.17","533","378","230","70","6","42","50","20","19","0","1","27","124","21","36","59","29","0","2","0.00"
"219","Nathan MacKinnon","COL","C","80","1780.95","53","74","50","24","127","75.15","352","15.06","39.6","600","471","323","115","10","45","39","14","12","1","1","21","165","25","64","75","35","681","653","51.05"
"908","Macklin Celebrini","S.J","C","82","1747.9","45","70","46","24","115","84.56","287","15.68","31.66","543","410","322","92","8","54","44","22","22","0","0","34","150","41","53","93","53","625","660","48.64"
"127","Mark Scheifele","WPG","C","82","1763.3333333333","36","67","42","25","103","77.44","175","20.57","27.39","328","272","243","107","5","33","43","15","13","1","1","27","129","31","32","107","47","594","679","46.66"
"444","Nick Suzuki","MTL","C","82","1707.2833333333","29","72","45","27","101","69.18","183","15.85","29.4","385","308","215","86","13","41","28","10","9","0","1","10","72","29","62","95","62","731","718","50.45"
"262","David Pastrnak","BOS","R","77","1590.5","29","71","57","14","100","79.37","261","11.11","28.92","562","389","241","75","10","52","72","27","25","0","2","34","134","32","86","77","32","2","7","22.22"
"451","Martin Necas","COL","C","78","1676.85","38","62","35","27","100","67.11","206","18.45","27.19","417","306","213","81","5","24","30","15","15","0","0","30","123","23","85","100","26","9","12","42.86"
"247","Leon Draisaitl","EDM","C","65","1402.3833333333","35","62","40","22","97","71.85","184","19.02","25.64","370","293","198","65","2","30","26","13","13","0","0","11","106","26","34","55","15","628","475","56.94"
"447","Jason Robertson","DAL","L","82","1660.75","45","51","24","27","96","66.21","295","15.25","38.99","553","423","341","134","6","72","32","16","16","0","0","23","107","24","48","90","34","1","2","33.33"
"493","Evan Bouchard","EDM","D","82","2023.5833333333","21","74","33","41","95","54.29","221","9.50","15.24","468","312","171","17","2","47","30","15","15","0","0","17","123","33","29","87","101","0","0","-"
"297","Kyle Connor","WPG","L","82","1763.5166666667","39","53","33","20","92","71.88","274","14.23","30.76","498","393","290","97","5","46","16","8","8","0","0","17","69","21","36","43","19","0","1","0.00"
"301","Jack Eichel","VGK","C","74","1568.8666666667","27","63","30","33","90","67.16","260","10.38","26.31","471","363","205","69","6","47","18","8","8","0","0","20","120","28","35","51","40","558","613","47.65"
"349","Kirill Kaprizov","MIN","L","78","1727.45","45","44","27","17","89","67.42","267","16.85","40.83","534","422","289","123","7","62","28","14","14","0","0","18","112","22","52","70","27","0","2","0.00"
"197","Jake Guentzel","T.B","C","81","1639.9166666667","38","50","29","21","88","66.67","219","17.35","38.21","385","315","287","164","7","50","61","21","18","1","2","26","73","23","39","75","41","209","228","47.83"
"374","Clayton Keller","UTA","R","82","1565.0333333333","26","62","42","20","88","70.40","225","11.56","26.29","425","338","199","76","2","38","38","19","19","0","0","24","105","26","8","76","32","13","21","38.24"
