Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,OPS,DPS,GPS,PS
2025-26,NHL,Connor McDavid,29,EDM,C,48,90,138,17,13.1,2.8,0.0,15.9
2024-25,NHL,Nikita Kucherov,31,TBL,RW,37,84,121,22,11.0,2.6,0.0,13.6
2023-24,NHL,Nikita Kucherov,30,TBL,RW,44,100,144,8,13.2,2.3,0.0,15.5
2022-23,NHL,Connor McDavid,26,EDM,C,64,89,153,22,15.8,2.4,0.0,18.2
2021-22,NHL,Connor McDavid,25,EDM,C,44,79,123,28,11.1,2.8,0.0,14.0
2020-21,NHL,Connor McDavid,24,EDM,C,33,72,105,21,10.7,2.2,0.0,13.0
2019-20,NHL,Leon Draisaitl,24,EDM,C,43,67,110,-7,10.9,1.8,0.0,12.8
2018-19,NHL,Nikita Kucherov,25,TBL,RW,41,87,128,24,12.3,2.3,0.0,14.6
2017-18,NHL,Connor McDavid,21,EDM,C,41,67,108,20,10.5,2.6,0.0,13.1
2016-17,NHL,Connor McDavid,20,EDM,C,30,70,100,27,9.7,3.0,0.0,12.8
2015-16,NHL,Patrick Kane,27,CHI,RW,46,60,106,17,12.4,2.6,0.0,15.0
2014-15,NHL,Jamie Benn,25,DAL,LW,35,52,87,1,9.3,1.5,0.0,10.7
2013-14,NHL,Sidney Crosby,26,PIT,C,36,68,104,18,10.7,2.8,0.0,13.5
2012-13,NHL,Martin St. Louis,37,TBL,RW,17,43,60,0,5.4,0.8,0.0,6.3
2011-12,NHL,Evgeni Malkin,25,PIT,C,50,59,109,18,13.4,2.3,0.0,15.7
2010-11,NHL,Daniel Sedin,30,VAN,LW,41,63,104,30,11.5,2.8,0.0,14.3
2009-10,NHL,Henrik Sedin,29,VAN,C,29,83,112,35,10.6,2.9,0.0,13.5
2008-09,NHL,Evgeni Malkin,22,PIT,C,35,78,113,17,10.2,2.4,0.0,12.6
2007-08,NHL,Alex Ovechkin,22,WSH,LW,65,47,112,28,14.1,3.1,0.0,17.2
2006-07,NHL,Sidney Crosby,19,PIT,C,36,84,120,10,11.3,2.0,0.0,13.3
2005-06,NHL,Joe Thornton,26,TOT,C,29,96,125,31,10.2,3.1,0.0,13.3
2003-04,NHL,Martin St. Louis,28,TBL,RW,38,56,94,35,10.1,3.1,0.0,13.2
2002-03,NHL,Peter Forsberg,29,COL,C,29,77,106,52,10.2,3.4,0.0,13.6
2001-02,NHL,Jarome Iginla,24,CGY,RW,52,44,96,27,11.2,3.2,0.0,14.4
2000-01,NHL,Jaromír Jágr,28,PIT,RW,52,69,121,19,12.1,2.0,0.0,14.1
1999-00,NHL,Jaromír Jágr,27,PIT,RW,42,54,96,25,9.9,2.3,0.0,12.2
1998-99,NHL,Jaromír Jágr,26,PIT,RW,44,83,127,17,11.9,2.7,0.0,14.6
1997-98,NHL,Jaromír Jágr,25,PIT,RW,35,67,102,17,10.9,1.7,0.0,12.6
1996-97,NHL,Mario Lemieux,31,PIT,C,50,72,122,27,12.8,1.7,0.0,14.5
1995-96,NHL,Mario Lemieux,30,PIT,C,69,92,161,10,16.6,0.7,0.0,17.4
1994-95,NHL,Jaromír Jágr,22,PIT,RW,32,38,70,23,7.3,1.0,0.0,8.3
1993-94,NHL,Wayne Gretzky,33,LAK,C,38,92,130,-25,11.0,0.1,0.0,11.1
1992-93,NHL,Mario Lemieux,27,PIT,C,69,91,160,55,14.7,2.2,0.0,16.8
1991-92,NHL,Mario Lemieux,26,PIT,C,44,87,131,27,11.0,1.4,0.0,12.4
1990-91,NHL,Wayne Gretzky,30,LAK,C,41,122,163,30,13.0,1.5,0.0,14.5
1989-90,NHL,Wayne Gretzky,29,LAK,C,40,102,142,8,10.5,0.8,0.0,11.3
1988-89,NHL,Mario Lemieux,23,PIT,C,85,114,199,41,17.7,1.9,0.0,19.6
1987-88,NHL,Mario Lemieux,22,PIT,C,70,98,168,23,14.7,1.5,0.0,16.2
