,,,,,,Scoring,,,,Goalie Stats,,,,,Point Shares,,,
Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
2025-26,NHL,Gabriel Landeskog,33,COL,LW,14,21,35,29,,,,,,2.0,2.1,0.0,4.1
2024-25,NHL,Sean Monahan,30,CBJ,C,19,38,57,19,,,,,,4.7,1.6,0.0,6.4
2023-24,NHL,Connor Ingram,26,ARI,G,0,3,3,0,23,21,3,2.91,.907,0.0,0.0,8.9,8.9
2022-23,NHL,Kris Letang,35,PIT,D,12,29,41,-13,,,,,,3.1,2.4,0.0,5.5
2021-22,NHL,Carey Price,34,MTL,G,0,0,0,0,1,4,0,3.63,.878,0.0,0.0,0.4,0.4
2020-21,NHL,Oskar Lindblom,24,PHI,LW,8,6,14,-9,,,,,,0.4,0.3,0.0,0.7
2019-20,NHL,Bobby Ryan,32,OTT,LW,5,3,8,3,,,,,,0.4,0.5,0.0,0.9
2018-19,NHL,Robin Lehner,27,NYI,G,0,1,1,0,25,13,5,2.13,.930,0.0,0.0,10.2,10.2
2017-18,NHL,Brian Boyle,33,NJD,C,13,10,23,-9,,,,,,1.2,0.7,0.0,2.0
2016-17,NHL,Craig Anderson,35,OTT,G,0,1,1,0,25,11,4,2.28,.926,0.0,0.0,9.2,9.2
2015-16,NHL,Jaromír Jágr,43,FLA,RW,27,39,66,23,,,,,,6.9,2.3,0.0,9.2
2014-15,NHL,Devan Dubnyk,28,TOT,G,0,2,2,0,36,14,4,2.07,.929,0.0,0.0,12.6,12.6
2013-14,NHL,Dominic Moore,33,NYR,C,6,12,18,0,,,,,,0.3,1.1,0.0,1.4
2012-13,NHL,Josh Harding,28,MIN,G,0,0,0,0,1,1,0,3.24,.863,0.0,0.0,0.0,0.0
2011-12,NHL,Max Pacioretty,23,MTL,LW,33,32,65,2,,,,,,7.1,1.9,0.0,9.0
2010-11,NHL,Ian Laperrière,37,,RW,,,,,,,,,,,,,
2009-10,NHL,José Théodore,33,WSH,G,0,2,2,0,30,7,7,2.81,.911,0.0,0.0,8.0,8.0
2008-09,NHL,Steve Sullivan,34,NSH,LW,11,21,32,2,,,,,,2.3,1.1,0.0,3.3
2007-08,NHL,Jason Blake,34,TOR,LW,15,37,52,-4,,,,,,3.1,1.2,0.0,4.2
2006-07,NHL,Phil Kessel,19,BOS,RW,11,18,29,-12,,,,,,1.3,0.7,0.0,2.0
2005-06,NHL,Teemu Selänne,35,MDA,RW,40,50,90,28,,,,,,8.7,2.7,0.0,11.4
2003-04,NHL,Bryan Berard,26,CHI,D,13,34,47,-24,,,,,,5.2,0.9,0.0,6.1
2002-03,NHL,Steve Yzerman,37,DET,C,2,6,8,6,,,,,,0.4,0.5,0.0,0.8
2001-02,NHL,Saku Koivu,27,MTL,C,0,2,2,0,,,,,,0.1,0.0,0.0,0.1
2000-01,NHL,Adam Graves,32,NYR,LW,10,16,26,-16,,,,,,0.1,0.3,0.0,0.5
1999-00,NHL,Ken Daneyko,35,NJD,D,0,6,6,13,,,,,,-0.9,3.9,0.0,3.0
1998-99,NHL,John Cullen,34,TBL,C,0,0,0,-2,,,,,,-0.1,0.0,0.0,-0.2
1997-98,NHL,Jamie McLennan,26,STL,G,0,0,0,0,16,8,2,2.17,.903,0.0,0.0,3.4,3.4
1996-97,NHL,Tony Granato,32,SJS,RW,25,15,40,-7,,,,,,3.3,0.9,0.0,4.2
1995-96,NHL,Gary Roberts,29,CGY,LW,22,20,42,15,,,,,,4.3,1.0,0.0,5.3
1994-95,NHL,Pat LaFontaine,29,BUF,C,12,15,27,2,,,,,,2.8,0.4,0.0,3.2
1993-94,NHL,Cam Neely,28,BOS,RW,50,24,74,12,,,,,,8.5,1.1,0.0,9.6
1992-93,NHL,Mario Lemieux,27,PIT,C,69,91,160,55,,,,,,14.7,2.2,0.0,16.8
1991-92,NHL,Mark Fitzpatrick,23,NYI,G,0,2,2,0,11,13,5,3.20,.902,0.0,0.0,6.2,6.2
1990-91,NHL,Dave Taylor,35,LAK,RW,23,30,53,27,,,,,,3.2,1.4,0.0,4.6
1989-90,NHL,Gord Kluzak,25,BOS,D,0,2,2,4,,,,,,0.0,0.7,0.0,0.7
1988-89,NHL,Tim Kerr,29,PHI,RW,48,40,88,-4,,,,,,7.2,0.8,0.0,8.1
1987-88,NHL,Bob Bourne,33,LAK,C,7,11,18,-31,,,,,,-0.9,0.1,0.0,-0.8
1986-87,NHL,Doug Jarvis,31,HAR,C,9,13,22,0,,,,,,-0.7,1.1,0.0,0.3
1985-86,NHL,Charlie Simmer,31,BOS,LW,36,24,60,13,,,,,,4.5,1.1,0.0,5.5
1984-85,NHL,Anders Hedberg,33,NYR,RW,20,31,51,-14,,,,,,2.4,0.6,0.0,3.0
1983-84,NHL,Brad Park,35,DET,D,5,53,58,-31,,,,,,2.8,2.6,0.0,5.4
1982-83,NHL,Lanny McDonald,29,CGY,RW,66,32,98,-1,,,,,,8.8,1.0,0.0,9.8
