,,,,,,Scoring,,,,Goalie Stats,,,,,Point Shares,,,
Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
2025-26,NHL,Matthew Schaefer,18,NYI,D,23,36,59,13,,,,,,5.6,6.4,0.0,12.0
2024-25,NHL,Lane Hutson,20,MTL,D,6,60,66,-2,,,,,,4.9,4.0,0.0,8.9
2023-24,NHL,Connor Bedard,18,CHI,C,22,39,61,-44,,,,,,4.3,0.5,0.0,4.8
2022-23,NHL,Matty Beniers,20,SEA,C,24,33,57,14,,,,,,4.0,1.8,0.0,5.8
2021-22,NHL,Moritz Seider,20,DET,D,7,43,50,-9,,,,,,3.2,3.5,0.0,6.7
2020-21,NHL,Kirill Kaprizov,23,MIN,LW,27,24,51,10,,,,,,5.4,1.3,0.0,6.7
2019-20,NHL,Cale Makar,21,COL,D,12,38,50,12,,,,,,4.8,2.9,0.0,7.7
2018-19,NHL,Elias Pettersson,20,VAN,C,28,38,66,3,,,,,,6.0,1.7,0.0,7.8
2017-18,NHL,Mathew Barzal,20,NYI,C,22,63,85,1,,,,,,6.8,1.3,0.0,8.2
2016-17,NHL,Auston Matthews,19,TOR,C,40,29,69,2,,,,,,8.2,1.5,0.0,9.7
2015-16,NHL,Artemi Panarin,24,CHI,LW,30,47,77,8,,,,,,7.9,2.0,0.0,9.8
2014-15,NHL,Aaron Ekblad,18,FLA,D,12,27,39,12,,,,,,3.5,5.0,0.0,8.5
2013-14,NHL,Nathan MacKinnon,18,COL,C,24,39,63,20,,,,,,5.7,2.1,0.0,7.7
2012-13,NHL,Jonathan Huberdeau,19,FLA,C,14,17,31,-15,,,,,,3.0,0.4,0.0,3.3
2011-12,NHL,Gabriel Landeskog,19,COL,LW,22,30,52,20,,,,,,4.0,2.8,0.0,6.8
2010-11,NHL,Jeff Skinner,18,CAR,RW,31,32,63,3,,,,,,6.5,1.5,0.0,8.1
2009-10,NHL,Tyler Myers,19,BUF,D,11,37,48,13,,,,,,4.0,5.8,0.0,9.8
2008-09,NHL,Steve Mason,20,CBJ,G,0,0,0,0,33,20,7,2.29,.916,0.0,0.0,11.2,11.2
2007-08,NHL,Patrick Kane,19,CHI,RW,21,51,72,-5,,,,,,5.9,1.3,0.0,7.2
2006-07,NHL,Evgeni Malkin,20,PIT,LW,33,52,85,2,,,,,,7.8,1.6,0.0,9.4
2005-06,NHL,Alex Ovechkin,20,WSH,LW,52,54,106,2,,,,,,11.0,1.6,0.0,12.7
2003-04,NHL,Andrew Raycroft,23,BOS,G,0,2,2,0,29,18,9,2.05,.926,0.0,0.0,12.6,12.6
2002-03,NHL,Barret Jackman,21,STL,D,3,16,19,23,,,,,,0.6,4.8,0.0,5.4
2001-02,NHL,Dany Heatley,21,ATL,RW,26,41,67,-19,,,,,,5.9,0.9,0.0,6.8
2000-01,NHL,Evgeni Nabokov,25,SJS,G,0,2,2,0,32,21,7,2.19,.915,0.0,0.0,11.7,11.7
1999-00,NHL,Scott Gomez,20,NJD,C,19,51,70,14,,,,,,5.4,2.0,0.0,7.3
1998-99,NHL,Chris Drury,22,COL,C,20,24,44,9,,,,,,3.7,1.3,0.0,5.0
1997-98,NHL,Sergei Samsonov,19,BOS,LW,22,25,47,9,,,,,,4.1,1.5,0.0,5.5
1996-97,NHL,Bryan Berard,19,NYI,D,8,40,48,1,,,,,,3.8,3.8,0.0,7.6
1995-96,NHL,Daniel Alfredsson,23,OTT,RW,26,35,61,-18,,,,,,4.4,0.8,0.0,5.3
1994-95,NHL,Peter Forsberg,21,QUE,C,15,35,50,17,,,,,,4.1,0.9,0.0,5.0
1993-94,NHL,Martin Brodeur,21,NJD,G,0,0,0,0,27,11,8,2.40,.915,0.0,0.0,8.9,8.9
1992-93,NHL,Teemu Selänne,22,WIN,RW,76,56,132,8,,,,,,12.2,1.3,0.0,13.4
1991-92,NHL,Pavel Bure,20,VAN,RW,34,26,60,0,,,,,,4.8,0.8,0.0,5.7
1990-91,NHL,Ed Belfour,25,CHI,G,0,3,3,0,43,19,7,2.47,.910,0.0,0.0,14.0,14.0
1989-90,NHL,Sergei Makarov,31,CGY,RW,24,62,86,33,,,,,,5.0,1.8,0.0,6.8
1988-89,NHL,Brian Leetch,20,NYR,D,23,48,71,8,,,,,,5.3,3.6,0.0,9.0
1987-88,NHL,Joe Nieuwendyk,21,CGY,C,51,41,92,20,,,,,,7.7,1.0,0.0,8.7
1986-87,NHL,Luc Robitaille,20,LAK,LW,45,39,84,-19,,,,,,6.4,0.4,0.0,6.8
1985-86,NHL,Gary Suter,21,CGY,D,18,50,68,11,,,,,,4.4,3.7,0.0,8.0
1984-85,NHL,Mario Lemieux,19,PIT,C,43,57,100,-33,,,,,,7.2,0.3,0.0,7.5
1983-84,NHL,Tom Barrasso,18,BUF,G,0,2,2,0,26,12,3,2.85,.893,0.0,0.0,7.5,7.5
1982-83,NHL,Steve Larmer,21,CBH,RW,43,47,90,44,,,,,,6.3,2.0,0.0,8.4
1981-82,NHL,Dale Hawerchuk,18,WIN,C,45,58,103,-7,,,,,,6.8,1.0,0.0,7.9
1980-81,NHL,Peter Šťastný,24,QUE,C,39,70,109,10,,,,,,7.3,1.3,0.0,8.6
1979-80,NHL,Ray Bourque,19,BOS,D,17,48,65,52,,,,,,4.7,7.1,0.0,11.8
1978-79,NHL,Bobby Smith,20,MNS,C,30,44,74,-8,,,,,,5.0,1.2,0.0,6.1
1977-78,NHL,Mike Bossy,21,NYI,RW,53,38,91,31,,,,,,8.8,1.6,0.0,10.3
1976-77,NHL,Willi Plett,21,ATF,RW,33,23,56,15,,,,,,4.8,1.3,0.0,6.1
1975-76,NHL,Bryan Trottier,19,NYI,C,32,63,95,27,,,,,,6.7,1.9,0.0,8.6
1974-75,NHL,Eric Vail,21,ATF,LW,39,21,60,1,,,,,,4.9,1.2,0.0,6.1
1973-74,NHL,Denis Potvin,20,NYI,D,17,37,54,-17,,,,,,4.6,4.1,0.0,8.7
1972-73,NHL,Steve Vickers,21,NYR,LW,30,23,53,35,,,,,,4.1,1.8,0.0,5.9
1971-72,NHL,Ken Dryden,24,MTL,G,0,3,3,0,39,8,15,2.24,.930,0.0,0.0,15.0,15.0
1970-71,NHL,Gilbert Perreault,20,BUF,C,38,34,72,-38,,,,,,6.4,0.1,0.0,6.5
1969-70,NHL,Tony Esposito,26,CBH,G,0,2,2,0,38,17,8,2.17,.932,0.0,0.0,14.7,14.7
1968-69,NHL,Danny Grant,22,MNS,LW,34,31,65,-13,,,,,,5.6,1.2,0.0,6.8
1967-68,NHL,Derek Sanderson,21,BOS,C,24,25,49,11,,,,,,3.8,1.0,0.0,4.8
1966-67,NHL,Bobby Orr,18,BOS,D,13,28,41,1,,,,,,3.8,2.2,0.0,6.0
1965-66,NHL,Brit Selby,20,TOR,LW,14,13,27,3,,,,,,0.9,1.1,0.0,2.0
1964-65,NHL,Roger Crozier,22,DET,G,0,0,0,,40,22,7,2.42,.913,0.0,0.0,14.4,14.4
1963-64,NHL,Jacques Laperrière,22,MTL,D,2,28,30,25,,,,,,2.0,4.7,0.0,6.7
1962-63,NHL,Kent Douglas,26,TOR,D,7,15,22,18,,,,,,1.5,5.1,0.0,6.6
1961-62,NHL,Bobby Rousseau,21,MTL,RW,21,24,45,24,,,,,,2.8,1.4,0.0,4.3
1960-61,NHL,Dave Keon,20,TOR,C,20,25,45,12,,,,,,2.8,1.4,0.0,4.2
1959-60,NHL,Bill Hay,24,CBH,C,18,37,55,17,,,,,,3.7,1.2,0.0,4.9
1958-59,NHL,Ralph Backstrom,21,MTL,C,18,22,40,,,,,,,2.5,1.3,0.0,3.8
1957-58,NHL,Frank Mahovlich,20,TOR,LW,20,16,36,,,,,,,2.5,0.8,0.0,3.3
1956-57,NHL,Larry Regan,26,BOS,RW,14,19,33,,,,,,,1.6,1.2,0.0,2.8
1955-56,NHL,Glenn Hall,24,DET,G,0,0,0,,30,24,16,2.10,.925,0.0,0.0,14.5,14.5
1954-55,NHL,Ed Litzenberger,22,TOT,RW,23,28,51,,,,,,,5.0,0.8,0.0,5.8
1953-54,NHL,Camille Henry,21,NYR,LW,24,15,39,,,,,,,4.6,0.8,0.0,5.4
1952-53,NHL,Gump Worsley,23,NYR,G,0,0,0,,13,29,8,3.02,,0.0,0.0,4.4,4.4
1951-52,NHL,Bernie Geoffrion,20,MTL,RW,30,24,54,,,,,,,5.8,1.2,0.0,7.0
1950-51,NHL,Terry Sawchuk,21,DET,G,0,0,0,,44,13,13,1.97,,0.0,0.0,17.0,17.0
1949-50,NHL,Jack Gelineau,25,BOS,G,0,0,0,,22,30,15,3.28,,0.0,0.0,7.3,7.3
1948-49,NHL,Pentti Lund,23,NYR,RW,14,16,30,,,,,,,1.8,0.8,0.0,2.6
1947-48,NHL,Jim McFadden,27,DET,C,24,24,48,,,,,,,4.5,1.2,0.0,5.7
1946-47,NHL,Howie Meeker,23,TOR,RW,27,18,45,,,,,,,4.3,1.0,0.0,5.3
1945-46,NHL,Edgar Laprade,26,NYR,C,15,19,34,,,,,,,2.3,0.6,0.0,2.9
1944-45,NHL,Frank McCool,26,TOR,G,0,0,0,,24,22,4,3.22,,0.0,0.0,10.1,10.1
1943-44,NHL,Gus Bodnar,20,TOR,C,22,40,62,,,,,,,3.4,1.2,0.0,4.5
1942-43,NHL,Gaye Stewart,19,TOR,LW,24,23,47,,,,,,,2.9,1.0,0.0,4.0
1941-42,NHL,Grant Warwick,20,NYR,RW,16,17,33,,,,,,,2.1,0.8,0.0,3.0
1940-41,NHL,John Quilty,20,MTL,C,18,16,34,,,,,,,3.3,0.6,0.0,3.9
1939-40,NHL,Kilby MacDonald,25,NYR,LW,15,13,28,,,,,,,2.6,1.2,0.0,3.8
1938-39,NHL,Frank Brimsek,23,BOS,G,0,0,0,,33,9,1,1.56,,0.0,0.0,11.3,11.3
1937-38,NHL,Cully Dahlstrom,25,CBH,C,10,9,19,,,,,,,0.7,0.6,0.0,1.3
1936-37,NHL,Syl Apps,22,TOR,C,16,29,45,,,,,,,5.2,0.9,0.0,6.1
1935-36,NHL,Mike Karakas,24,CBH,G,0,0,0,,21,19,8,1.85,,0.0,0.0,9.5,9.5
1934-35,NHL,Sweeney Schriner,23,NYA,LW,18,22,40,,,,,,,4.0,0.5,0.0,4.5
1933-34,NHL,Russ Blinco,25,MTM,C,14,9,23,,,,,,,3.6,0.5,0.0,4.1
1932-33,NHL,Carl Voss,26,TOT,C,8,16,24,,,,,,,1.8,1.0,0.0,2.8
