,,,,,,Scoring,,,,Goalie Stats,,,,
Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%
2025-26,NHL,Jordan Staal,37,CAR,C,8,4,12,6,,,,,
2024-25,NHL,Sam Bennett,28,FLA,C,15,7,22,6,,,,,
2023-24,NHL,Connor McDavid,27,EDM,C,8,34,42,12,,,,,
2022-23,NHL,Jonathan Marchessault,32,VEG,C,13,12,25,17,,,,,
2021-22,NHL,Cale Makar,23,COL,D,8,21,29,7,,,,,
2020-21,NHL,Andrei Vasilevskiy,26,TBL,G,0,0,0,0,16,7,0,1.90,.937
2019-20,NHL,Victor Hedman,29,TBL,D,10,12,22,13,,,,,
2018-19,NHL,Ryan O'Reilly,27,STL,C,8,15,23,2,,,,,
2017-18,NHL,Alex Ovechkin,32,WSH,LW,15,12,27,8,,,,,
2016-17,NHL,Sidney Crosby,29,PIT,C,8,19,27,4,,,,,
2015-16,NHL,Sidney Crosby,28,PIT,C,6,13,19,-2,,,,,
2014-15,NHL,Duncan Keith,31,CHI,D,3,18,21,16,,,,,
2013-14,NHL,Justin Williams,32,LAK,RW,9,16,25,13,,,,,
2012-13,NHL,Patrick Kane,24,CHI,RW,9,10,19,7,,,,,
2011-12,NHL,Jonathan Quick,26,LAK,G,0,0,0,,16,4,0,1.41,.946
2010-11,NHL,Tim Thomas,36,BOS,G,0,0,0,,16,9,0,1.98,.940
2009-10,NHL,Jonathan Toews,21,CHI,C,7,22,29,-1,,,,,
2008-09,NHL,Evgeni Malkin,22,PIT,C,14,22,36,3,,,,,
2007-08,NHL,Henrik Zetterberg,27,DET,C,13,14,27,16,,,,,
2006-07,NHL,Scott Niedermayer,33,ANA,D,3,8,11,2,,,,,
2005-06,NHL,Cam Ward,21,CAR,G,0,1,1,,15,8,0,2.14,.920
2003-04,NHL,Brad Richards,23,TBL,C,12,14,26,5,,,,,
2002-03,NHL,Jean-Sébastien Giguère,25,MDA,G,0,1,1,,15,6,0,1.62,.945
2001-02,NHL,Nicklas Lidström,31,DET,D,5,11,16,6,,,,,
2000-01,NHL,Patrick Roy,35,COL,G,0,1,1,,16,7,0,1.70,.934
1999-00,NHL,Scott Stevens,35,NJD,D,3,8,11,9,,,,,
1998-99,NHL,Joe Nieuwendyk,32,DAL,C,11,10,21,7,,,,,
1997-98,NHL,Steve Yzerman,32,DET,C,6,18,24,10,,,,,
1996-97,NHL,Mike Vernon,33,DET,G,0,1,1,,16,4,0,1.76,.927
1995-96,NHL,Joe Sakic,26,COL,C,18,16,34,10,,,,,
1994-95,NHL,Claude Lemieux,29,NJD,RW,13,3,16,12,,,,,
1993-94,NHL,Brian Leetch,25,NYR,D,11,23,34,19,,,,,
1992-93,NHL,Patrick Roy,27,MTL,G,0,1,1,,16,4,0,2.13,.929
1991-92,NHL,Mario Lemieux,26,PIT,C,16,18,34,6,,,,,
1990-91,NHL,Mario Lemieux,25,PIT,C,16,28,44,14,,,,,
1989-90,NHL,Bill Ranford,23,EDM,G,0,2,2,,16,6,0,2.53,.912
1988-89,NHL,Al MacInnis,25,CGY,D,7,24,31,6,,,,,
1987-88,NHL,Wayne Gretzky,27,EDM,C,12,31,43,10,,,,,
1986-87,NHL,Ron Hextall,22,PHI,G,0,1,1,,15,11,0,2.76,.908
1985-86,NHL,Patrick Roy,20,MTL,G,0,0,0,,15,5,0,1.93,.923
1984-85,NHL,Wayne Gretzky,24,EDM,C,17,30,47,27,,,,,
1983-84,NHL,Mark Messier,23,EDM,LW/C,8,18,26,9,,,,,
1982-83,NHL,Billy Smith,32,NYI,G,0,1,1,,13,3,0,2.69,.913
1981-82,NHL,Mike Bossy,25,NYI,RW,17,10,27,7,,,,,
1980-81,NHL,Butch Goring,31,NYI,C,10,10,20,6,,,,,
1979-80,NHL,Bryan Trottier,23,NYI,C,12,17,29,8,,,,,
1978-79,NHL,Bob Gainey,25,MTL,LW,6,10,16,4,,,,,
1977-78,NHL,Larry Robinson,26,MTL,D,4,17,21,21,,,,,
1976-77,NHL,Guy Lafleur,25,MTL,RW,9,17,26,20,,,,,
1975-76,NHL,Reggie Leach,25,PHI,RW,19,5,24,14,,,,,
1974-75,NHL,Bernie Parent,29,PHI,G,0,0,0,,10,5,0,1.89,.924
1973-74,NHL,Bernie Parent,28,PHI,G,0,0,0,,12,5,0,2.02,.933
1972-73,NHL,Yvan Cournoyer,29,MTL,RW,15,10,25,6,,,,,
1971-72,NHL,Bobby Orr,23,BOS,D,5,19,24,20,,,,,
1970-71,NHL,Ken Dryden,23,MTL,G,0,1,1,,12,8,0,3.01,.914
1969-70,NHL,Bobby Orr,21,BOS,D,9,11,20,24,,,,,
1968-69,NHL,Serge Savard,23,MTL,D,4,6,10,2,,,,,
1967-68,NHL,Glenn Hall,36,STL,G,0,0,0,,8,10,0,2.44,.916
1966-67,NHL,Dave Keon,26,TOR,C,3,5,8,1,,,,,
1965-66,NHL,Roger Crozier,23,DET,G,0,0,0,,6,5,0,2.34,.914
1964-65,NHL,Jean Béliveau,33,MTL,C,8,8,16,-1,,,,,
