,,,,,,Scoring,,,,Goalie Stats,,,,,Point Shares,,,
Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
2025-26,NHL,Marcus Foligno,34,MIN,LW,8,5,13,-12,,,,,,0.0,0.5,0.0,0.5
2024-25,NHL,Aleksander Barkov,29,FLA,C,20,51,71,1,,,,,,5.3,1.9,0.0,7.2
2023-24,NHL,Anders Lee,33,NYI,LW,20,17,37,2,,,,,,2.1,1.4,0.0,3.5
2022-23,NHL,Mikael Backlund,33,CGY,C,19,37,56,24,,,,,,3.0,2.6,0.0,5.6
2021-22,NHL,P.K. Subban,32,NJD,D,5,17,22,-8,,,,,,0.9,2.5,0.0,3.4
2020-21,NHL,Pekka Rinne,38,NSH,G,0,1,1,0,10,12,1,2.84,.907,0.0,0.0,3.8,3.8
2019-20,NHL,Mathew Dumba,25,MIN,D,6,18,24,-7,,,,,,1.1,2.5,0.0,3.6
2018-19,NHL,Jason Zucker,27,MIN,LW,21,21,42,-9,,,,,,2.4,1.7,0.0,4.1
2017-18,NHL,Daniel Sedin,37,VAN,LW,23,32,55,-21,,,,,,4.6,0.8,0.0,5.4
,,Henrik Sedin,37,VAN,C,3,47,50,-22,,,,,,1.9,0.8,0.0,2.7
2016-17,NHL,Nick Foligno,29,CBJ,LW,26,25,51,-4,,,,,,4.6,1.3,0.0,5.9
2015-16,NHL,Henrik Sedin,35,VAN,C,11,44,55,0,,,,,,3.6,1.7,0.0,5.4
2014-15,NHL,Henrik Zetterberg,34,DET,C,17,49,66,-6,,,,,,5.3,1.4,0.0,6.7
2013-14,NHL,Andrew Ference,34,EDM,D,3,15,18,-18,,,,,,0.5,1.9,0.0,2.4
2012-13,NHL,Patrice Bergeron,27,BOS,C,10,22,32,24,,,,,,2.4,1.9,0.0,4.3
2011-12,NHL,Daniel Alfredsson,39,OTT,RW,27,32,59,16,,,,,,5.7,1.8,0.0,7.5
2010-11,NHL,Doug Weight,40,NYI,C,2,7,9,-3,,,,,,0.3,0.2,0.0,0.5
2009-10,NHL,Shane Doan,33,PHX,RW,18,37,55,3,,,,,,3.4,2.1,0.0,5.5
2008-09,NHL,Ethan Moreau,33,EDM,LW,14,12,26,0,,,,,,0.7,1.2,0.0,1.9
2007-08,NHL,Vincent Lecavalier,27,TBL,C,40,52,92,-17,,,,,,9.1,1.6,0.0,10.7
2006-07,NHL,Saku Koivu,32,MTL,C,22,53,75,-21,,,,,,5.9,1.0,0.0,6.9
2005-06,NHL,Olaf Kölzig,35,WSH,G,0,3,3,0,20,28,11,3.53,.896,0.0,0.0,11.0,11.0
2003-04,NHL,Jarome Iginla,26,CGY,RW,41,32,73,21,,,,,,8.0,3.1,0.0,11.1
2002-03,NHL,Brendan Shanahan,34,DET,LW,30,38,68,5,,,,,,6.5,1.4,0.0,7.9
2001-02,NHL,Ron Francis,38,CAR,C,27,50,77,4,,,,,,6.7,2.1,0.0,8.7
2000-01,NHL,Shjon Podein,32,COL,RW,15,17,32,7,,,,,,1.5,1.4,0.0,2.9
1999-00,NHL,Curtis Joseph,32,TOR,G,0,1,1,0,36,20,7,2.49,.915,0.0,0.0,13.4,13.4
1998-99,NHL,Rob Ray,30,BUF,RW,0,4,4,-2,,,,,,-0.6,0.3,0.0,-0.3
1997-98,NHL,Kelly Chase,30,STL,RW,4,3,7,10,,,,,,-1.4,1.1,0.0,-0.3
1996-97,NHL,Trevor Linden,26,VAN,C,9,31,40,5,,,,,,2.6,0.7,0.0,3.3
1995-96,NHL,Kris King,29,WIN,LW,9,11,20,-7,,,,,,-0.6,0.7,0.0,0.0
1994-95,NHL,Joe Nieuwendyk,28,CGY,C,21,29,50,11,,,,,,4.7,0.8,0.0,5.5
1993-94,NHL,Adam Graves,25,NYR,LW,52,27,79,27,,,,,,7.8,1.9,0.0,9.8
1992-93,NHL,Dave Poulin,34,BOS,C,16,33,49,29,,,,,,1.6,1.9,0.0,3.5
1991-92,NHL,Ray Bourque,31,BOS,D,21,60,81,11,,,,,,6.3,5.0,0.0,11.2
1990-91,NHL,Dave Taylor,35,LAK,RW,23,30,53,27,,,,,,3.2,1.4,0.0,4.6
1989-90,NHL,Kevin Lowe,30,EDM,D,7,26,33,18,,,,,,1.4,4.6,0.0,6.0
1988-89,NHL,Bryan Trottier,32,NYI,C,17,28,45,-7,,,,,,1.7,0.9,0.0,2.6
1987-88,NHL,Lanny McDonald,34,CGY,RW,10,13,23,2,,,,,,0.2,0.4,0.0,0.6
