,,,,,,Scoring,,,,Goalie Stats,,,,,Point Shares,,,
Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
2025-26,NHL,Gabriel Landeskog,33,COL,LW,14,21,35,29,,,,,,2.0,2.1,0.0,4.1
2024-25,NHL,Alex Ovechkin,39,WSH,LW,44,29,73,15,,,,,,8.5,1.7,0.0,10.1
2023-24,NHL,Jacob Trouba,29,NYR,D,3,19,22,-4,,,,,,0.6,3.0,0.0,3.6
2022-23,NHL,Steven Stamkos,32,TBL,C,34,50,84,-5,,,,,,6.8,1.6,0.0,8.4
2021-22,NHL,Anže Kopitar,34,LAK,C,19,48,67,-6,,,,,,3.8,1.9,0.0,5.7
2020-21,NHL,Patrice Bergeron,35,BOS,C,23,25,48,27,,,,,,4.5,2.3,0.0,6.9
2019-20,NHL,Mark Giordano,36,CGY,D,5,26,31,2,,,,,,1.9,3.5,0.0,5.4
2018-19,NHL,Wayne Simmonds,30,TOT,RW,17,13,30,-16,,,,,,1.2,0.7,0.0,1.9
2017-18,NHL,Deryk Engelland,35,VEG,D,5,18,23,6,,,,,,0.9,3.6,0.0,4.5
2016-17,NHL,Nick Foligno,29,CBJ,LW,26,25,51,-4,,,,,,4.6,1.3,0.0,5.9
2015-16,NHL,Shea Weber,30,NSH,D,20,31,51,-7,,,,,,5.6,3.9,0.0,9.5
2014-15,NHL,Jonathan Toews,26,CHI,C,28,38,66,30,,,,,,6.2,3.2,0.0,9.4
2013-14,NHL,Dustin Brown,29,LAK,RW,15,12,27,7,,,,,,1.2,1.9,0.0,3.1
2012-13,NHL,Daniel Alfredsson,40,OTT,RW,10,16,26,1,,,,,,1.4,1.2,0.0,2.7
2011-12,NHL,Shane Doan,35,PHX,RW,22,28,50,-8,,,,,,3.6,1.3,0.0,5.0
2010-11,NHL,Zdeno Chára,33,BOS,D,14,30,44,33,,,,,,4.0,6.0,0.0,10.0
2009-10,NHL,Sidney Crosby,22,PIT,C,51,58,109,15,,,,,,12.2,2.4,0.0,14.7
2008-09,NHL,Jarome Iginla,31,CGY,RW,35,54,89,-2,,,,,,7.8,1.7,0.0,9.5
2007-08,NHL,Mats Sundin,36,TOR,C,32,46,78,17,,,,,,7.7,2.1,0.0,9.8
2006-07,NHL,Chris Chelios,45,DET,D,0,11,11,11,,,,,,-0.4,3.6,0.0,3.3
