Season,Lg,Team,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,SOG,S%,SA,SV%,PDO,SO
2025-26,NHL,Colorado Avalanche,30.7,82,55,16,,11,121,.738,298,197,1.14,-0.07,3.63,2.40,45,263,17.11,36,234,84.62,2,13,2766,10.8,2144,.908,101.7,8
2024-25,NHL,Winnipeg Jets,29.7,82,56,22,,4,116,.707,275,190,1.02,-0.03,3.35,2.32,63,218,28.90,41,199,79.40,4,4,2314,11.9,2229,.915,102.1,10
2023-24,NHL,New York Rangers,29.1,82,55,23,,4,114,.695,278,226,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,2582,10.8,2418,.907,99.9,6
2022-23,NHL,Boston Bruins,29.5,82,65,12,,5,135,.823,301,174,1.54,-0.02,3.67,2.12,62,279,22.22,36,283,87.28,8,8,2703,11.1,2447,.929,103.0,7
2021-22,NHL,Florida Panthers,27.8,82,58,18,,6,122,.744,337,242,1.07,-0.08,4.11,2.95,64,262,24.43,53,259,79.54,12,8,3062,11.0,2515,.904,100.4,5
2020-21,NHL,Colorado Avalanche,27.1,56,39,13,,4,82,.732,197,132,1.00,-0.14,3.52,2.36,47,207,22.71,30,177,83.05,1,3,1937,10.2,1423,.907,100.4,8
2019-20,NHL,Boston Bruins,29.1,70,44,14,,12,100,.714,227,167,0.74,-0.02,3.24,2.39,57,226,25.22,34,215,84.19,5,7,2247,10.1,2103,.921,101.5,8
2018-19,NHL,Tampa Bay Lightning,27.1,82,62,16,,4,128,.780,319,221,1.21,-0.05,3.89,2.70,74,262,28.24,40,267,85.02,12,3,2620,12.2,2633,.916,101.7,6
2017-18,NHL,Nashville Predators,28.4,82,53,18,,11,117,.713,261,204,0.71,0.03,3.18,2.49,58,274,21.17,54,299,81.94,10,5,2641,9.9,2659,.923,101.6,11
2016-17,NHL,Washington Capitals,28.4,82,55,19,,8,118,.720,261,177,0.99,0.00,3.18,2.16,57,248,22.98,44,272,83.82,5,3,2495,10.5,2282,.922,102.5,12
2015-16,NHL,Washington Capitals,27.9,82,56,18,,8,120,.732,248,191,0.70,-0.02,3.02,2.33,55,251,21.91,38,256,85.16,2,5,2510,9.9,2332,.918,101.1,3
2014-15,NHL,New York Rangers,29.4,82,53,22,,7,113,.689,248,187,0.69,-0.04,3.02,2.28,39,232,16.81,37,235,84.26,9,6,2582,9.6,2418,.923,101.7,11
2013-14,NHL,Boston Bruins,27.6,82,54,19,,9,117,.713,258,171,0.92,-0.11,3.15,2.09,50,230,21.74,43,263,83.65,9,6,2612,9.9,2385,.928,102.1,9
2012-13,NHL,Chicago Blackhawks,26.8,48,36,7,,5,77,.802,149,97,1.04,-0.07,3.10,2.02,25,150,16.67,18,141,87.23,5,5,1494,10.0,1258,.923,101.7,7
2011-12,NHL,Vancouver Canucks,28.5,82,51,22,,9,111,.677,241,191,0.57,-0.05,2.94,2.33,57,288,19.79,40,286,86.01,7,4,2583,9.3,2526,.924,101.2,9
2010-11,NHL,Vancouver Canucks,28.1,82,54,19,,9,117,.713,258,180,0.87,-0.07,3.15,2.20,72,296,24.32,45,312,85.58,6,2,2624,9.8,2470,.927,101.3,5
2009-10,NHL,Washington Capitals,27.2,82,54,15,,13,121,.738,313,227,0.90,-0.14,3.82,2.77,79,313,25.24,67,316,78.80,4,8,2693,11.6,2535,.910,102.7,3
2008-09,NHL,San Jose Sharks,28.7,82,53,18,,11,117,.713,251,199,0.61,-0.04,3.06,2.43,87,360,24.17,51,304,83.22,12,11,2720,9.2,2228,.911,99.3,9
2007-08,NHL,Detroit Red Wings,32.1,82,54,21,,7,115,.701,252,179,0.93,0.04,3.07,2.18,81,391,20.72,57,357,84.03,5,7,2820,8.9,1930,.907,100.0,9
2006-07,NHL,Buffalo Sabres,27.2,82,53,22,,7,113,.689,298,238,0.64,-0.16,3.63,2.90,71,407,17.44,72,386,81.35,8,13,2417,12.3,2541,.906,,2
2005-06,NHL,Detroit Red Wings,32.1,82,58,16,,8,124,.756,301,206,1.03,-0.14,3.67,2.51,102,461,22.13,67,461,85.47,7,10,2796,10.8,2180,.906,,9
2003-04,NHL,Detroit Red Wings,31.9,82,48,21,11,2,109,.665,255,189,0.72,-0.09,3.11,2.30,63,314,20.06,42,317,86.75,15,5,2484,10.3,2151,.912,,7
2002-03,NHL,Ottawa Senators,26.3,82,52,21,8,1,113,.689,263,182,0.88,-0.11,3.21,2.22,83,391,21.23,50,332,84.94,4,8,2441,10.8,2033,.910,,8
2001-02,NHL,Detroit Red Wings,31.9,82,51,17,10,4,116,.707,251,187,0.83,0.05,3.06,2.28,73,359,20.33,48,343,86.01,9,7,2538,9.9,2159,.913,,7
2000-01,NHL,Colorado Avalanche,28.4,82,52,16,10,4,118,.720,270,192,0.95,0.00,3.29,2.34,80,363,22.04,59,342,82.75,11,11,2395,11.3,2059,.907,,7
1999-00,NHL,St. Louis Blues,28.7,82,51,19,11,1,114,.695,248,165,1.08,0.07,3.02,2.01,61,342,17.84,42,345,87.83,13,3,2445,10.1,1814,.909,,9
1998-99,NHL,Dallas Stars,29.7,82,51,19,12,,114,.695,236,168,0.76,-0.07,2.88,2.05,74,393,18.83,43,319,86.52,6,4,2266,10.4,1965,.915,,6
1997-98,NHL,Dallas Stars,,82,49,22,11,,109,.665,242,167,0.88,-0.03,2.95,2.04,77,385,20.00,42,351,88.03,11,9,2200,11.0,1870,.911,,10
1996-97,NHL,Colorado Avalanche,,82,49,24,9,,107,.652,277,205,0.81,-0.07,3.38,2.50,83,403,20.60,42,339,87.61,14,12,2619,10.6,2477,.917,,8
1995-96,NHL,Detroit Red Wings,,82,62,13,7,,131,.799,325,181,1.64,-0.11,3.96,2.21,97,455,21.32,44,375,88.27,17,9,2648,12.3,1982,.909,,9
1994-95,NHL,Detroit Red Wings,,48,33,11,4,,70,.729,180,117,1.24,-0.08,3.75,2.44,52,215,24.19,28,206,86.41,5,7,1571,11.5,1206,.903,,2
1993-94,NHL,New York Rangers,,84,52,24,8,,112,.667,299,231,0.81,0.00,3.56,2.75,96,417,23.02,67,435,84.60,20,5,2871,10.4,2328,.901,,7
1992-93,NHL,Pittsburgh Penguins,,84,56,21,7,,119,.708,367,268,1.23,0.05,4.37,3.19,105,440,23.86,72,429,83.22,20,19,2725,13.5,2581,.896,,5
1991-92,NHL,New York Rangers,,80,50,25,5,,105,.656,321,246,1.02,0.08,4.01,3.08,81,387,20.93,60,395,84.81,14,12,2632,12.2,2543,.903,,5
1990-91,NHL,Chicago Blackhawks,,80,49,23,8,,106,.663,284,211,0.85,-0.06,3.55,2.64,87,393,22.14,68,425,84.00,20,10,2564,11.1,2214,.905,,4
1989-90,NHL,Boston Bruins,,80,46,25,9,,101,.631,289,232,0.64,-0.08,3.61,2.90,83,352,23.58,53,316,83.23,5,3,2611,11.1,2147,.892,,5
1988-89,NHL,Calgary Flames,,80,54,17,9,,117,.731,354,226,1.57,-0.03,4.43,2.83,101,405,24.94,78,457,82.93,10,8,2771,12.8,2059,.890,,2
1987-88,NHL,Calgary Flames,,80,48,23,9,,105,.656,397,305,1.10,-0.05,4.96,3.81,109,383,28.46,94,480,80.42,23,11,2666,14.9,2372,.871,,1
1986-87,NHL,Edmonton Oilers,,80,50,24,6,,106,.663,372,284,1.06,-0.04,4.65,3.55,70,318,22.01,74,372,80.11,28,8,2357,15.8,2366,.880,,0
1985-86,NHL,Edmonton Oilers,,80,56,17,7,,119,.744,426,310,1.25,-0.20,5.33,3.88,78,295,26.44,77,409,81.17,27,15,2645,16.1,2778,.888,,1
