Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,OPS,DPS,GPS,PS
2025-26,NHL,Nick Suzuki,26,MTL,C,29,72,101,37,8.0,3.1,0.0,11.1
2024-25,NHL,Aleksander Barkov,29,FLA,C,20,51,71,1,5.3,1.9,0.0,7.2
2023-24,NHL,Aleksander Barkov,28,FLA,C,23,57,80,33,6.0,2.9,0.0,9.0
2022-23,NHL,Patrice Bergeron,37,BOS,C,27,31,58,35,4.3,2.7,0.0,7.0
2021-22,NHL,Patrice Bergeron,36,BOS,C,25,40,65,26,4.9,2.6,0.0,7.6
2020-21,NHL,Aleksander Barkov,25,FLA,C,26,32,58,12,5.9,1.4,0.0,7.3
2019-20,NHL,Sean Couturier,27,PHI,C,22,37,59,21,4.4,2.2,0.0,6.6
2018-19,NHL,Ryan O'Reilly,27,STL,C,28,49,77,22,5.8,3.0,0.0,8.8
2017-18,NHL,Anže Kopitar,30,LAK,C,35,57,92,21,7.9,3.1,0.0,11.0
2016-17,NHL,Patrice Bergeron,31,BOS,C,21,32,53,12,4.2,2.5,0.0,6.6
2015-16,NHL,Anže Kopitar,28,LAK,C,25,49,74,34,6.5,3.3,0.0,9.7
2014-15,NHL,Patrice Bergeron,29,BOS,C,23,32,55,2,4.7,1.7,0.0,6.4
2013-14,NHL,Patrice Bergeron,28,BOS,C,30,32,62,38,6.4,2.8,0.0,9.2
2012-13,NHL,Jonathan Toews,24,CHI,C,23,25,48,28,5.6,2.0,0.0,7.6
2011-12,NHL,Patrice Bergeron,26,BOS,C,22,42,64,36,5.7,2.7,0.0,8.3
2010-11,NHL,Ryan Kesler,26,VAN,C,41,32,73,24,7.6,2.7,0.0,10.4
2009-10,NHL,Pavel Datsyuk,31,DET,C,27,43,70,17,5.8,2.7,0.0,8.6
2008-09,NHL,Pavel Datsyuk,30,DET,C,32,65,97,34,8.9,2.6,0.0,11.5
2007-08,NHL,Pavel Datsyuk,29,DET,C,31,66,97,41,8.8,3.7,0.0,12.6
2006-07,NHL,Rod Brind'Amour,36,CAR,C,26,56,82,7,5.7,2.5,0.0,8.2
2005-06,NHL,Rod Brind'Amour,35,CAR,C,31,39,70,8,4.5,2.2,0.0,6.8
2003-04,NHL,Kris Draper,32,DET,C,24,16,40,22,3.9,2.1,0.0,6.0
2002-03,NHL,Jere Lehtinen,29,DAL,RW,31,17,48,39,4.3,3.2,0.0,7.5
2001-02,NHL,Michael Peca,27,NYI,C,25,35,60,19,4.8,2.4,0.0,7.2
2000-01,NHL,John Madden,27,NJD,LW,23,15,38,24,2.7,1.9,0.0,4.6
1999-00,NHL,Steve Yzerman,34,DET,C,35,44,79,28,7.3,2.5,0.0,9.8
1998-99,NHL,Jere Lehtinen,25,DAL,RW,20,32,52,29,3.6,2.9,0.0,6.5
1997-98,NHL,Jere Lehtinen,24,DAL,RW,23,19,42,19,4.0,1.8,0.0,5.7
1996-97,NHL,Michael Peca,22,BUF,C,20,29,49,26,3.4,1.7,0.0,5.1
1995-96,NHL,Sergei Fedorov,26,DET,RW,39,68,107,49,9.5,2.5,0.0,12.0
1994-95,NHL,Ron Francis,31,PIT,C,11,48,59,30,4.6,1.2,0.0,5.8
1993-94,NHL,Sergei Fedorov,24,DET,C,56,64,120,48,11.7,2.1,0.0,13.8
1992-93,NHL,Doug Gilmour,29,TOR,C,32,95,127,32,8.7,2.2,0.0,11.0
1991-92,NHL,Guy Carbonneau,31,MTL,C,18,21,39,2,1.7,1.1,0.0,2.8
1990-91,NHL,Dirk Graham,31,CHI,RW,24,21,45,12,2.4,1.4,0.0,3.8
1989-90,NHL,Rick Meagher,36,STL,C,8,17,25,4,-0.5,1.2,0.0,0.7
1988-89,NHL,Guy Carbonneau,28,MTL,C,26,30,56,37,2.9,2.1,0.0,5.0
1987-88,NHL,Guy Carbonneau,27,MTL,C,17,21,38,14,1.0,1.4,0.0,2.4
1986-87,NHL,Dave Poulin,28,PHI,C,25,45,70,47,4.2,2.0,0.0,6.3
1985-86,NHL,Troy Murray,23,CBH,C,45,54,99,32,6.9,1.6,0.0,8.5
1984-85,NHL,Craig Ramsay,33,BUF,LW,12,21,33,17,0.1,1.8,0.0,1.8
1983-84,NHL,Doug Jarvis,28,WSH,C,13,29,42,6,0.7,1.5,0.0,2.1
1982-83,NHL,Bobby Clarke,33,PHI,C,23,62,85,37,4.4,1.8,0.0,6.1
1981-82,NHL,Steve Kasper,20,BOS,C,20,31,51,-18,1.9,0.6,0.0,2.5
1980-81,NHL,Bob Gainey,27,MTL,LW,23,24,47,13,1.9,1.4,0.0,3.2
1979-80,NHL,Bob Gainey,26,MTL,LW,14,19,33,-1,1.1,0.7,0.0,1.8
1978-79,NHL,Bob Gainey,25,MTL,LW,20,18,38,12,1.3,1.1,0.0,2.4
1977-78,NHL,Bob Gainey,24,MTL,LW,15,16,31,11,1.2,0.7,0.0,1.9
