,,,,,,Scoring,,,,Goalie Stats,,,,,Point Shares,,,
Season,Lg,Player,Age,Tm,Pos,G,A,PTS,+/-,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
2025-26,NHL,Connor McDavid,29,EDM,C,48,90,138,17,,,,,,13.1,2.8,0.0,15.9
2024-25,NHL,Nikita Kucherov,31,TBL,RW,37,84,121,22,,,,,,11.0,2.6,0.0,13.6
2023-24,NHL,Nathan MacKinnon,28,COL,C,51,89,140,35,,,,,,13.1,2.9,0.0,16.0
2022-23,NHL,Connor McDavid,26,EDM,C,64,89,153,22,,,,,,15.8,2.4,0.0,18.2
2021-22,NHL,Auston Matthews,24,TOR,C,60,46,106,20,,,,,,11.7,2.1,0.0,13.8
2020-21,NHL,Connor McDavid,24,EDM,C,33,72,105,21,,,,,,10.7,2.2,0.0,13.0
2019-20,NHL,Leon Draisaitl,24,EDM,C,43,67,110,-7,,,,,,10.9,1.8,0.0,12.8
2018-19,NHL,Nikita Kucherov,25,TBL,RW,41,87,128,24,,,,,,12.3,2.3,0.0,14.6
2017-18,NHL,Connor McDavid,21,EDM,C,41,67,108,20,,,,,,10.5,2.6,0.0,13.1
2016-17,NHL,Connor McDavid,20,EDM,C,30,70,100,27,,,,,,9.7,3.0,0.0,12.8
2015-16,NHL,Patrick Kane,27,CHI,RW,46,60,106,17,,,,,,12.4,2.6,0.0,15.0
2014-15,NHL,Carey Price,27,MTL,G,0,1,1,0,44,16,6,1.96,.933,0.0,0.0,16.2,16.2
2013-14,NHL,Sidney Crosby,26,PIT,C,36,68,104,18,,,,,,10.7,2.8,0.0,13.5
2012-13,NHL,Sidney Crosby,25,PIT,C,15,41,56,26,,,,,,5.8,1.7,0.0,7.5
2011-12,NHL,Evgeni Malkin,25,PIT,C,50,59,109,18,,,,,,13.4,2.3,0.0,15.7
2010-11,NHL,Daniel Sedin,30,VAN,LW,41,63,104,30,,,,,,11.5,2.8,0.0,14.3
2009-10,NHL,Alex Ovechkin,24,WSH,LW,50,59,109,45,,,,,,13.0,2.5,0.0,15.6
2008-09,NHL,Alex Ovechkin,23,WSH,LW,56,54,110,8,,,,,,12.5,2.0,0.0,14.5
2007-08,NHL,Alex Ovechkin,22,WSH,LW,65,47,112,28,,,,,,14.1,3.1,0.0,17.2
2006-07,NHL,Sidney Crosby,19,PIT,C,36,84,120,10,,,,,,11.3,2.0,0.0,13.3
