Season,Lg,Player,Age,Tm,Pos,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
2025-26,NHL,Andrei Vasilevskiy,31,TBL,G,39,15,4,2.31,.911,0.0,0.0,11.8,11.8
2024-25,NHL,Connor Hellebuyck,31,WPG,G,47,12,3,2.00,.925,0.0,0.0,14.5,14.5
2023-24,NHL,Connor Hellebuyck,30,WPG,G,37,19,4,2.39,.921,0.0,0.0,13.6,13.6
2022-23,NHL,Linus Ullmark,29,BOS,G,40,6,1,1.89,.938,0.0,0.0,13.2,13.2
2021-22,NHL,Igor Shesterkin,26,NYR,G,36,13,4,2.07,.935,0.0,0.0,13.6,13.6
2020-21,NHL,Marc-André Fleury,36,VEG,G,26,10,0,1.98,.928,0.0,0.0,8.0,8.0
2019-20,NHL,Connor Hellebuyck,26,WPG,G,31,21,5,2.57,.922,0.0,0.0,12.5,12.5
2018-19,NHL,Andrei Vasilevskiy,24,TBL,G,39,10,4,2.40,.925,0.0,0.0,12.4,12.4
2017-18,NHL,Pekka Rinne,35,NSH,G,42,13,4,2.31,.927,0.0,0.0,13.2,13.2
2016-17,NHL,Sergei Bobrovsky,28,CBJ,G,41,17,5,2.06,.931,0.0,0.0,14.9,14.9
2015-16,NHL,Braden Holtby,26,WSH,G,48,9,7,2.20,.922,0.0,0.0,12.1,12.1
2014-15,NHL,Carey Price,27,MTL,G,44,16,6,1.96,.933,0.0,0.0,16.2,16.2
2013-14,NHL,Tuukka Rask,26,BOS,G,36,15,6,2.04,.930,0.0,0.0,13.1,13.1
2012-13,NHL,Sergei Bobrovsky,24,CBJ,G,21,11,6,2.00,.932,0.0,0.0,9.2,9.2
2011-12,NHL,Henrik Lundqvist,29,NYR,G,39,18,5,1.97,.930,0.0,0.0,14.1,14.1
2010-11,NHL,Tim Thomas,36,BOS,G,35,11,9,2.00,.938,0.0,0.0,16.2,16.2
2009-10,NHL,Ryan Miller,29,BUF,G,41,18,8,2.22,.929,0.0,0.0,16.8,16.8
2008-09,NHL,Tim Thomas,34,BOS,G,36,11,7,2.10,.933,0.0,0.0,14.7,14.7
2007-08,NHL,Martin Brodeur,35,NJD,G,44,27,6,2.17,.920,0.0,0.0,15.5,15.5
2006-07,NHL,Martin Brodeur,34,NJD,G,48,23,7,2.18,.922,0.0,0.0,17.3,17.3
2005-06,NHL,Miikka Kiprusoff,29,CGY,G,42,20,11,2.07,.923,0.0,0.0,16.2,16.2
2003-04,NHL,Martin Brodeur,31,NJD,G,38,26,11,2.03,.917,0.0,0.0,12.5,12.5
2002-03,NHL,Martin Brodeur,30,NJD,G,41,23,9,2.02,.914,0.0,0.0,11.4,11.4
2001-02,NHL,José Théodore,25,MTL,G,30,24,10,2.11,.931,0.0,0.0,17.4,17.4
2000-01,NHL,Dominik Hašek,36,BUF,G,37,24,4,2.11,.921,0.0,0.0,13.9,13.9
1999-00,NHL,Olaf Kölzig,29,WSH,G,41,20,11,2.24,.917,0.0,0.0,14.6,14.6
1998-99,NHL,Dominik Hašek,34,BUF,G,30,18,14,1.87,.937,0.0,0.0,16.8,16.8
1997-98,NHL,Dominik Hašek,33,BUF,G,33,23,13,2.09,.932,0.0,0.0,18.6,18.6
