Season,Lg,Player,Age,Tm,Pos,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS
2025-26,NHL,Scott Wedgewood,33,COL,G,31,6,6,2.02,.921,0.0,0.0,9.9,9.9
,,Mackenzie Blackwood,29,COL,G,23,10,2,2.51,.904,0.0,0.0,6.7,6.7
2024-25,NHL,Connor Hellebuyck,31,WPG,G,47,12,3,2.00,.925,0.0,0.0,14.5,14.5
2023-24,NHL,Connor Hellebuyck,30,WPG,G,37,19,4,2.39,.921,0.0,0.0,13.6,13.6
2022-23,NHL,Jeremy Swayman,24,BOS,G,24,6,4,2.27,.920,0.0,0.0,6.9,6.9
,,Linus Ullmark,29,BOS,G,40,6,1,1.89,.938,0.0,0.0,13.2,13.2
2021-22,NHL,Frederik Andersen,32,CAR,G,35,14,3,2.17,.922,0.0,0.0,10.2,10.2
,,Antti Raanta,32,CAR,G,15,5,4,2.45,.912,0.0,0.0,4.3,4.3
2020-21,NHL,Robin Lehner,29,VEG,G,13,4,2,2.29,.913,0.0,0.0,3.2,3.2
,,Marc-André Fleury,36,VEG,G,26,10,0,1.98,.928,0.0,0.0,8.0,8.0
2019-20,NHL,Jaroslav Halák,34,BOS,G,18,6,6,2.39,.919,0.0,0.0,6.1,6.1
,,Tuukka Rask,32,BOS,G,26,8,6,2.12,.929,0.0,0.0,9.1,9.1
2018-19,NHL,Robin Lehner,27,NYI,G,25,13,5,2.13,.930,0.0,0.0,10.2,10.2
,,Thomas Greiss,33,NYI,G,23,14,2,2.28,.927,0.0,0.0,8.7,8.7
2017-18,NHL,Jonathan Quick,32,LAK,G,33,28,3,2.40,.921,0.0,0.0,12.2,12.2
2016-17,NHL,Braden Holtby,27,WSH,G,42,13,6,2.07,.925,0.0,0.0,12.3,12.3
2015-16,NHL,Frederik Andersen,26,ANA,G,22,9,7,2.30,.919,0.0,0.0,7.0,7.0
,,John Gibson,22,ANA,G,21,13,4,2.07,.920,0.0,0.0,6.5,6.5
2014-15,NHL,Corey Crawford,30,CHI,G,32,20,5,2.27,.924,0.0,0.0,11.9,11.9
,,Carey Price,27,MTL,G,44,16,6,1.96,.933,0.0,0.0,16.2,16.2
