team,player,capHit,term,total,signDate,level,capPct,pos,signAge,signStatus,signExpiry,structure,gm,agent,draftYear,draftRound
ANA,Sean Farrell,850000,1yr,$850k,2026-07-28,STD,0.008,C,24,RFA,UFA,2-Way,Pat Verbeek,Pat Brisson,2020,4
ANA,Nikita Klepov,1075000,3yr,$3.23M,2026-07-25,ELC,0.01,RW,18,,RFA,2-Way,Pat Verbeek,Daniel Milstein,2026,1
ANA,Marcus Nordmark,1075000,3yr,$3.23M,2026-07-15,ELC,0.01,LW,18,,RFA,2-Way,Pat Verbeek,Craig Oster,2026,1
ANA,Tyson Hinds,900000,2yr,$1.80M,2026-07-07,STD,0.009,D,23,RFA,RFA,1-Way,Pat Verbeek,Allain Roy,2021,3
ANA,Pavel Mintyukov,7200000,5yr,$36.00M,2026-07-05,STD,0.069,D,22,RFA,UFA,1-Way,Pat Verbeek,Daniel Milstein,2022,1
ANA,Leo Carlsson,18000000,5yr,$90.00M,2026-07-03,STD,0.173,C,21,RFA,UFA,1-Way,Pat Verbeek,Matt & Ryan Keator,2023,1
ANA,James Hamblin,875000,2yr,$1.75M,2026-07-01,STD,0.008,C,27,UFA,UFA,2-Way,Pat Verbeek,Rick Valette,,
ANA,Travis Mitchell,850000,1yr,$850k,2026-07-01,STD,0.008,D,26,UFA,UFA,2-Way,Pat Verbeek,Edward Ward,,
ANA,Corey Schueneman,875000,2yr,$1.75M,2026-07-01,STD,0.008,D,30,UFA,UFA,2-Way,Pat Verbeek,Richard Evans,,
ANA,Jett Woo,875000,2yr,$1.75M,2026-07-01,STD,0.008,D,25,UFA,UFA,2-Way,Pat Verbeek,Eustace King,2018,2
ANA,Laurent Brossoit,1100000,1yr,$1.10M,2026-07-01,STD,0.011,G,33,UFA,UFA,1-Way,Pat Verbeek,Ray (Raynold) Petkau,2011,6
ANA,Judd Caulfield,875000,2yr,$1.75M,2026-07-01,STD,0.008,RW,25,RFA,UFA,2-Way,Pat Verbeek,Pat Brisson,2019,5
