"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","246","14926.55","85","134","27","77","197","0.400","13319","16423","44.78","9792","12261","44.40","6790","8523","44.34","626","889","41.32","666.03","893.07","42.72","6200","8214","43.01","3459","4650","42.66","491","715","40.71","14.19","84.62","2543","3560","41.67","1709","2453","41.06","311","461","40.28","18.20","81.21","3657","4654","44.00","1750","2197","44.34","180","254","41.47","10.29","88.44","7144","9001","44.25","2820","3534","44.38","121","156","43.68","4.29","95.59","9.22","89.57","0.988"
"2","Arizona Coyotes","164","9955.85","64","81","19","59","147","0.448","8604","10358","45.37","6332","7788","44.84","4396","5474","44.54","479","569","45.71","447.11","565.49","44.15","4331","5329","44.83","2418","3013","44.52","384","460","45.50","15.88","84.73","1724","2180","44.16","1175","1476","44.32","228","275","45.33","19.40","81.37","2607","3149","45.29","1243","1537","44.71","156","185","45.75","12.55","87.96","4342","5309","44.99","1770","2206","44.52","87","95","47.80","4.92","95.69","10.90","89.61","1.005"
"3","Boston Bruins","246","14959.3833","145","71","30","137","320","0.650","14046","14587","49.06","10321","10658","49.20","7274","7298","49.92","786","666","54.13","757.63","734.72","50.77","7153","7071","50.29","4056","3813","51.54","633","552","53.42","15.61","85.52","2997","2891","50.90","2084","1928","51.94","401","340","54.12","19.24","82.37","4156","4180","49.86","1972","1885","51.13","232","212","52.25","11.76","88.75","7320","8011","47.75","2807","3061","47.84","132","97","57.64","4.70","96.83","10.81","90.87","1.017"
"4","Buffalo Sabres","246","14907.4167","117","109","20","108","254","0.516","14563","14347","50.37","10731","10820","49.79","7481","7483","49.99","802","827","49.23","751.44","800.86","48.41","7035","7304","49.06","3947","4137","48.82","630","669","48.50","15.96","83.83","2767","3139","46.85","1823","2123","46.20","347","419","45.30","19.03","80.26","4268","4165","50.61","2124","2014","51.33","283","250","53.10","13.32","87.59","7966","7739","50.72","3161","2977","51.50","149","136","52.28","4.71","95.43","10.72","88.95","0.997"
"5","Carolina Hurricanes","246","14913.5667","151","74","21","145","323","0.657","17187","11838","59.21","12509","8948","58.30","8186","6280","56.59","805","651","55.29","862.93","667.77","56.37","8034","5869","57.79","4226","3489","54.78","641","538","54.37","15.17","84.58","3342","2709","55.23","2142","1887","53.16","405","323","55.63","18.91","82.88","4692","3160","59.76","2084","1602","56.54","236","215","52.33","11.32","86.58","9751","6205","61.11","3638","2346","60.80","145","97","59.92","3.99","95.87","9.83","89.63","0.995"
"6","Columbus Blue Jackets","246","14925.8833","92","124","30","82","214","0.435","14465","16101","47.32","10447","11762","47.04","7240","8182","46.95","714","894","44.40","719.89","838.24","46.20","6722","7829","46.20","3726","4318","46.32","572","706","44.76","15.35","83.65","2706","3260","45.36","1821","2210","45.17","346","426","44.82","19.00","80.72","4016","4569","46.78","1905","2108","47.47","226","280","44.66","11.86","86.72","7882","8724","47.46","3076","3501","46.77","129","167","43.58","4.19","95.23","9.86","89.07","0.989"
"7","Calgary Flames","246","14962.8167","117","93","36","110","270","0.549","15988","14154","53.04","11506","10210","52.98","7936","7053","52.95","731","750","49.36","786","732.57","51.76","7459","7069","51.34","4067","3913","50.96","574","614","48.32","14.11","84.31","2942","2841","50.87","1973","1918","50.71","362","353","50.63","18.35","81.60","4517","4228","51.65","2094","1995","51.21","212","261","44.82","10.12","86.92","8820","7678","53.46","3391","2745","55.26","139","118","54.09","4.10","95.70","9.21","89.37","0.986"
"8","Chicago Blackhawks","246","14881.8833","74","148","24","69","172","0.350","12373","15481","44.42","9034","11389","44.23","6367","7993","44.34","604","880","40.70","617.83","818.47","43.02","5818","7852","42.56","3306","4365","43.10","505","695","42.08","15.28","84.08","2380","3290","41.98","1621","2233","42.06","318","451","41.35","19.62","79.80","3438","4562","42.98","1685","2132","44.14","187","244","43.39","11.10","88.56","6786","8220","45.22","2730","3263","45.55","91","158","36.55","3.33","95.16","9.49","88.99","0.985"
"9","Colorado Avalanche","246","14934.3","150","78","18","138","318","0.646","15579","13843","52.95","11201","10101","52.58","7887","7112","52.58","849","706","54.60","778.73","731.29","51.57","7623","6487","54.03","4219","3703","53.26","658","562","53.93","15.60","84.82","3021","2896","51.06","2047","1998","50.61","394","378","51.04","19.25","81.08","4602","3591","56.17","2172","1705","56.02","264","184","58.93","12.15","89.21","8443","7707","52.28","3302","3005","52.35","158","121","56.63","4.78","95.97","10.76","90.07","1.008"
"10","Dallas Stars","246","14936.1333","149","68","29","139","327","0.665","15208","14190","51.73","10901","10450","51.06","7531","7186","51.17","850","669","55.96","821.37","706.43","53.76","7676","6671","53.50","4235","3652","53.70","698","553","55.80","16.48","84.86","3255","2739","54.30","2197","1817","54.73","467","358","56.61","21.26","80.30","4421","3932","52.93","2038","1835","52.62","231","195","54.23","11.33","89.37","8007","7901","50.33","2904","3118","48.22","124","105","54.15","4.27","96.63","11.29","90.69","1.020"
"11","Detroit Red Wings","246","14937.6333","115","104","27","106","257","0.522","13650","15118","47.45","9998","10958","47.71","6937","7490","48.08","747","807","48.07","715.01","763.42","48.36","6478","7301","47.01","3610","3899","48.08","599","642","48.27","16.59","83.53","2517","2974","45.84","1761","1939","47.59","345","390","46.94","19.59","79.89","3961","4327","47.79","1849","1960","48.54","254","252","50.20","13.74","87.14","7633","8355","47.74","2903","3202","47.55","133","148","47.33","4.58","95.38","10.77","89.23","1.000"
"12","Edmonton Oilers","246","14891.4833","147","79","20","145","314","0.638","15457","13459","53.45","11410","9967","53.38","8144","7091","53.46","876","727","54.65","876.08","711.42","55.19","7965","6722","54.23","4496","3785","54.29","716","600","54.41","15.93","84.15","3515","2616","57.33","2402","1772","57.55","461","357","56.36","19.19","79.85","4450","4106","52.01","2094","2013","50.99","255","243","51.20","12.18","87.93","8199","7177","53.32","3243","2920","52.62","147","109","57.42","4.53","96.27","10.76","89.75","1.005"
"13","Florida Panthers","246","14903.9833","141","87","18","130","300","0.610","16564","13372","55.33","12018","10096","54.35","8376","7032","54.36","799","693","53.55","875.67","721.68","54.82","7964","6296","55.85","4409","3666","54.60","627","534","54.01","14.22","85.43","3435","2822","54.90","2310","1959","54.11","415","350","54.25","17.97","82.13","4529","3474","56.59","2099","1707","55.15","212","184","53.54","10.10","89.22","9120","7352","55.37","3563","2923","54.93","149","138","51.92","4.18","95.28","9.54","90.15","0.997"
"14","Los Angeles Kings","246","14928.9667","139","77","30","130","308","0.626","15119","13774","52.33","11101","9808","53.09","7579","6679","53.16","777","667","53.81","760.26","681.6","52.73","7118","6631","51.77","3804","3503","52.06","605","533","53.16","15.90","84.78","2918","2630","52.60","1912","1735","52.43","364","329","52.53","19.04","81.04","4200","4001","51.21","1892","1768","51.69","241","204","54.16","12.74","88.46","9036","8003","53.03","3369","2779","54.80","145","121","54.51","4.30","95.65","10.25","90.01","1.003"
"15","Minnesota Wild","246","14979.0667","130","88","28","117","288","0.585","14446","14854","49.30","10583","10660","49.82","7271","7416","49.51","712","715","49.89","735.8","696.93","51.36","6816","6789","50.10","3686","3758","49.52","551","557","49.73","14.95","85.18","2851","2645","51.87","1901","1791","51.49","351","338","50.94","18.46","81.13","3965","4144","48.90","1785","1967","47.57","200","219","47.73","11.20","88.87","7839","8661","47.51","3160","3301","48.91","128","141","47.58","4.05","95.73","9.79","90.36","1.002"
"16","Montreal Canadiens","246","14968.6167","101","112","33","90","235","0.478","13318","15981","45.46","9585","11398","45.68","6602","7875","45.60","702","847","45.32","690.44","874.3","44.12","6430","8045","44.42","3464","4378","44.17","556","698","44.34","16.05","84.06","2599","3413","43.23","1705","2234","43.29","324","451","41.81","19.00","79.81","3831","4632","45.27","1759","2144","45.07","232","247","48.43","13.19","88.48","7193","8216","46.68","2787","3110","47.26","129","128","50.19","4.63","95.88","10.63","89.24","0.999"
