"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","246","60.677","85","134","27","77","197","0.400","53.54","66.02","44.78","39.36","49.29","44.40","27.29","34.26","44.34","2.52","3.57","41.32","2.68","3.59","42.72","24.92","33.02","43.01","13.9","18.69","42.66","1.97","2.87","40.71","14.19","84.62","10.22","14.31","41.67","6.87","9.86","41.06","1.25","1.85","40.28","18.20","81.21","14.7","18.71","44.00","7.03","8.83","44.34","0.72","1.02","41.47","10.29","88.44","28.72","36.18","44.25","11.34","14.21","44.38","0.49","0.63","43.68","4.29","95.59","9.22","89.57","0.988"
"2","Arizona Coyotes","164","60.7064","64","81","19","59","147","0.448","51.85","62.42","45.37","38.16","46.94","44.84","26.49","32.99","44.54","2.89","3.43","45.71","2.69","3.41","44.15","26.1","32.12","44.83","14.57","18.16","44.52","2.31","2.77","45.50","15.88","84.73","10.39","13.14","44.16","7.08","8.9","44.32","1.37","1.66","45.33","19.40","81.37","15.71","18.98","45.29","7.49","9.26","44.71","0.94","1.11","45.75","12.55","87.96","26.17","32","44.99","10.67","13.29","44.52","0.52","0.57","47.80","4.92","95.69","10.90","89.61","1.005"
"3","Boston Bruins","246","60.8105","145","71","30","137","320","0.650","56.34","58.51","49.06","41.4","42.75","49.20","29.17","29.27","49.92","3.15","2.67","54.13","3.04","2.95","50.77","28.69","28.36","50.29","16.27","15.29","51.54","2.54","2.21","53.42","15.61","85.52","12.02","11.6","50.90","8.36","7.73","51.94","1.61","1.36","54.12","19.24","82.37","16.67","16.77","49.86","7.91","7.56","51.13","0.93","0.85","52.25","11.76","88.75","29.36","32.13","47.75","11.26","12.28","47.84","0.53","0.39","57.64","4.70","96.83","10.81","90.87","1.017"
"4","Buffalo Sabres","246","60.5993","117","109","20","108","254","0.516","58.61","57.74","50.37","43.19","43.55","49.79","30.11","30.12","49.99","3.23","3.33","49.23","3.02","3.22","48.41","28.31","29.4","49.06","15.89","16.65","48.82","2.54","2.69","48.50","15.96","83.83","11.14","12.63","46.85","7.34","8.54","46.20","1.4","1.69","45.30","19.03","80.26","17.18","16.76","50.61","8.55","8.11","51.33","1.14","1.01","53.10","13.32","87.59","32.06","31.15","50.72","12.72","11.98","51.50","0.6","0.55","52.28","4.71","95.43","10.72","88.95","0.997"
"5","Carolina Hurricanes","246","60.6243","151","74","21","145","323","0.657","69.15","47.63","59.21","50.33","36","58.30","32.93","25.27","56.59","3.24","2.62","55.29","3.47","2.69","56.37","32.32","23.61","57.79","17","14.04","54.78","2.58","2.16","54.37","15.17","84.58","13.45","10.9","55.23","8.62","7.59","53.16","1.63","1.3","55.63","18.91","82.88","18.88","12.71","59.76","8.38","6.45","56.54","0.95","0.86","52.33","11.32","86.58","39.23","24.96","61.11","14.64","9.44","60.80","0.58","0.39","59.92","3.99","95.87","9.83","89.63","0.995"
"6","Columbus Blue Jackets","246","60.6743","92","124","30","82","214","0.435","58.15","64.72","47.32","42","47.28","47.04","29.1","32.89","46.95","2.87","3.59","44.40","2.89","3.37","46.20","27.02","31.47","46.20","14.98","17.36","46.32","2.3","2.84","44.76","15.35","83.65","10.88","13.1","45.36","7.32","8.88","45.17","1.39","1.71","44.82","19.00","80.72","16.14","18.37","46.78","7.66","8.47","47.47","0.91","1.13","44.66","11.86","86.72","31.68","35.07","47.46","12.37","14.07","46.77","0.52","0.67","43.58","4.19","95.23","9.86","89.07","0.989"
"7","Calgary Flames","246","60.8245","117","93","36","110","270","0.549","64.11","56.76","53.04","46.14","40.94","52.98","31.82","28.28","52.95","2.93","3.01","49.36","3.15","2.94","51.76","29.91","28.35","51.34","16.31","15.69","50.96","2.3","2.46","48.32","14.11","84.31","11.8","11.39","50.87","7.91","7.69","50.71","1.45","1.42","50.63","18.35","81.60","18.11","16.95","51.65","8.4","8","51.21","0.85","1.05","44.82","10.12","86.92","35.37","30.79","53.46","13.6","11.01","55.26","0.56","0.47","54.09","4.10","95.70","9.21","89.37","0.986"
"8","Chicago Blackhawks","246","60.4955","74","148","24","69","172","0.350","49.88","62.42","44.42","36.42","45.92","44.23","25.67","32.23","44.34","2.44","3.55","40.70","2.49","3.3","43.02","23.46","31.66","42.56","13.33","17.6","43.10","2.04","2.8","42.08","15.28","84.08","9.6","13.26","41.98","6.54","9","42.06","1.28","1.82","41.35","19.62","79.80","13.86","18.39","42.98","6.79","8.6","44.14","0.75","0.98","43.39","11.10","88.56","27.36","33.14","45.22","11.01","13.16","45.55","0.37","0.64","36.55","3.33","95.16","9.49","88.99","0.985"
"9","Colorado Avalanche","246","60.7085","150","78","18","138","318","0.646","62.59","55.62","52.95","45","40.58","52.58","31.69","28.57","52.58","3.41","2.84","54.60","3.13","2.94","51.57","30.63","26.06","54.03","16.95","14.88","53.26","2.64","2.26","53.93","15.60","84.82","12.14","11.63","51.06","8.22","8.03","50.61","1.58","1.52","51.04","19.25","81.08","18.49","14.43","56.17","8.73","6.85","56.02","1.06","0.74","58.93","12.15","89.21","33.92","30.96","52.28","13.27","12.07","52.35","0.63","0.49","56.63","4.78","95.97","10.76","90.07","1.008"
"10","Dallas Stars","246","60.716","149","68","29","139","327","0.665","61.09","57","51.73","43.79","41.98","51.06","30.25","28.87","51.17","3.41","2.69","55.96","3.3","2.84","53.76","30.84","26.8","53.50","17.01","14.67","53.70","2.8","2.22","55.80","16.48","84.86","13.08","11","54.30","8.83","7.3","54.73","1.88","1.44","56.61","21.26","80.30","17.76","15.8","52.93","8.19","7.37","52.62","0.93","0.78","54.23","11.33","89.37","32.16","31.74","50.33","11.67","12.53","48.22","0.5","0.42","54.15","4.27","96.63","11.29","90.69","1.020"
