"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Colorado Avalanche","82","4984.8","55","16","11","51","121","0.738","5708","4481","56.02","4140","3320","55.50","2766","2140","56.38","298","197","60.20","309.61","242.38","56.09","2769","2139","56.42","1480","1111","57.12","220","152","59.14","14.86","86.32","1102","933","54.15","701","574","54.98","131","96","57.71","18.69","83.28","1667","1206","58.02","779","537","59.19","89","56","61.38","11.42","89.57","3419","2734","55.57","1168","905","56.34","70","39","64.22","5.99","95.69","10.77","90.79","1.016"
"2","Carolina Hurricanes","82","4996.9","53","22","7","48","113","0.689","5753","3951","59.28","4168","2950","58.56","2636","1962","57.33","291","236","55.22","309.38","240.9","56.22","2784","2087","57.15","1402","1176","54.38","234","206","53.18","16.69","82.48","1150","954","54.66","717","611","53.99","127","127","50.00","17.71","79.21","1634","1133","59.05","685","565","54.80","107","79","57.53","15.62","86.02","3470","2182","61.39","1134","655","63.39","52","22","70.27","4.59","96.64","11.04","87.97","0.990"
"3","Buffalo Sabres","82","4968.0333","50","23","9","45","109","0.665","4685","4917","48.79","3535","3621","49.40","2304","2381","49.18","283","240","54.11","270.83","273.23","49.78","2252","2328","49.17","1210","1285","48.50","228","195","53.90","18.84","84.82","987","1020","49.18","612","669","47.78","137","120","53.31","22.39","82.06","1265","1308","49.16","598","616","49.26","91","75","54.82","15.22","87.82","2731","3051","47.23","1004","956","51.22","43","37","53.75","4.28","96.13","12.28","89.92","1.022"
"4","Dallas Stars","82","5000.1667","50","20","12","44","112","0.683","4204","4580","47.86","3073","3268","48.46","2076","2145","49.18","273","222","55.15","269.44","247","52.17","2279","2185","51.05","1251","1113","52.92","232","176","56.86","18.55","84.19","1038","915","53.15","690","575","54.55","153","102","60.00","22.17","82.26","1241","1270","49.42","561","538","51.05","79","74","51.63","14.08","86.25","2321","2739","45.87","728","915","44.31","35","35","50.00","4.81","96.17","13.15","89.65","1.028"
"5","Tampa Bay Lightning","82","4970.9667","50","26","6","46","106","0.646","4890","4388","52.71","3572","3291","52.05","2306","2190","51.29","286","229","55.53","290.26","246.83","54.04","2467","2120","53.78","1307","1194","52.26","236","181","56.59","18.06","84.84","1056","898","54.04","646","599","51.89","144","104","58.06","22.29","82.64","1411","1222","53.59","661","595","52.63","92","77","54.44","13.92","87.06","2824","2737","50.78","903","874","50.82","45","37","54.88","4.98","95.77","12.40","89.54","1.019"
"6","Montreal Canadiens","82","5007.2167","48","24","10","44","106","0.646","4602","4915","48.36","3392","3484","49.33","2155","2281","48.58","279","251","52.64","275.54","288.37","48.86","2277","2454","48.13","1179","1287","47.81","214","206","50.95","18.15","83.99","913","1090","45.58","568","665","46.07","109","129","45.80","19.19","80.60","1364","1364","50.00","611","622","49.55","105","77","57.69","17.18","87.62","2654","2729","49.30","866","882","49.54","56","42","57.14","6.47","95.24","12.95","89.00","1.019"
"7","Minnesota Wild","82","5009.8333","46","24","12","42","104","0.634","4898","5084","49.07","3659","3679","49.86","2390","2411","49.78","268","235","53.28","281.49","258.57","52.12","2434","2461","49.72","1264","1285","49.59","207","192","51.88","16.38","85.06","1033","989","51.09","649","628","50.82","128","118","52.03","19.72","81.21","1401","1472","48.76","615","657","48.35","79","74","51.63","12.85","88.74","2770","3078","47.37","982","1007","49.37","50","37","57.47","5.09","96.33","11.21","90.25","1.015"
"8","Boston Bruins","82","4992.1833","45","27","10","41","100","0.610","4760","5058","48.48","3478","3706","48.41","2212","2433","47.62","268","247","52.04","257.04","296.83","46.41","2246","2477","47.55","1159","1334","46.49","210","188","52.76","18.12","85.91","953","1125","45.86","576","707","44.89","122","116","51.26","21.18","83.59","1293","1352","48.88","583","627","48.18","88","72","55.00","15.09","88.52","2822","2992","48.54","905","1003","47.43","53","56","48.62","5.86","94.42","12.12","89.85","1.020"
"9","Ottawa Senators","82","4966.95","44","27","11","41","99","0.604","4876","4279","53.26","3613","3081","53.97","2372","2000","54.25","275","245","52.88","280.13","233.37","54.55","2480","2019","55.12","1365","1063","56.22","225","202","52.69","16.48","81.00","1069","855","55.56","697","544","56.16","141","124","53.21","20.23","77.21","1411","1164","54.80","668","519","56.28","84","78","51.85","12.57","84.97","2862","2493","53.45","879","842","51.07","43","41","51.19","4.89","95.13","11.59","87.75","0.993"
"10","Anaheim Ducks","82","5010.5167","43","33","6","35","92","0.561","5327","4888","52.15","3944","3600","52.28","2522","2327","52.01","265","288","47.92","291.47","291.28","50.02","2566","2554","50.12","1342","1345","49.94","208","231","47.38","15.50","82.83","1125","1109","50.36","680","685","49.82","124","134","48.06","18.24","80.44","1441","1445","49.93","662","660","50.08","84","97","46.41","12.69","85.30","3089","2835","52.14","1080","856","55.79","51","48","51.52","4.72","94.39","10.51","87.62","0.981"
"11","New York Islanders","82","4988.1","43","34","5","39","91","0.555","4790","4856","49.66","3529","3550","49.85","2313","2269","50.48","229","236","49.25","265.17","299.05","47.00","2343","2460","48.78","1260","1312","48.99","187","194","49.08","14.84","85.21","973","1137","46.11","631","716","46.84","104","105","49.76","16.48","85.34","1370","1323","50.87","629","596","51.35","83","89","48.26","13.20","85.07","2892","2643","52.25","953","845","53.00","37","35","51.39","3.88","95.86","9.90","89.60","0.995"
