"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","61.1039","43","33","6","35","92","0.561","63.79","58.53","52.15","47.23","43.11","52.28","30.2","27.87","52.01","3.17","3.45","47.92","3.49","3.49","50.02","30.73","30.58","50.12","16.07","16.11","49.94","2.49","2.77","47.38","15.50","82.83","13.47","13.28","50.36","8.14","8.2","49.82","1.48","1.6","48.06","18.24","80.44","17.26","17.3","49.93","7.93","7.9","50.08","1.01","1.16","46.41","12.69","85.30","36.99","33.95","52.14","12.93","10.25","55.79","0.61","0.57","51.52","4.72","94.39","10.51","87.62","0.981"
"2","Boston Bruins","82","60.8803","45","27","10","41","100","0.610","57.21","60.79","48.48","41.8","44.54","48.41","26.59","29.24","47.62","3.22","2.97","52.04","3.09","3.57","46.41","26.99","29.77","47.55","13.93","16.03","46.49","2.52","2.26","52.76","18.12","85.91","11.45","13.52","45.86","6.92","8.5","44.89","1.47","1.39","51.26","21.18","83.59","15.54","16.25","48.88","7.01","7.54","48.18","1.06","0.87","55.00","15.09","88.52","33.92","35.96","48.54","10.88","12.05","47.43","0.64","0.67","48.62","5.86","94.42","12.12","89.85","1.020"
"3","Buffalo Sabres","82","60.5858","50","23","9","45","109","0.665","56.58","59.38","48.79","42.69","43.73","49.40","27.83","28.76","49.18","3.42","2.9","54.11","3.27","3.3","49.78","27.2","28.12","49.17","14.61","15.52","48.50","2.75","2.36","53.90","18.84","84.82","11.92","12.32","49.18","7.39","8.08","47.78","1.65","1.45","53.31","22.39","82.06","15.28","15.8","49.16","7.22","7.44","49.26","1.1","0.91","54.82","15.22","87.82","32.98","36.85","47.23","12.13","11.55","51.22","0.52","0.45","53.75","4.28","96.13","12.28","89.92","1.022"
"4","Carolina Hurricanes","82","60.9378","53","22","7","48","113","0.689","69.08","47.44","59.28","50.05","35.42","58.56","31.65","23.56","57.33","3.49","2.83","55.22","3.71","2.89","56.22","33.43","25.06","57.15","16.83","14.12","54.38","2.81","2.47","53.18","16.69","82.48","13.81","11.46","54.66","8.61","7.34","53.99","1.52","1.52","50.00","17.71","79.21","19.62","13.6","59.05","8.23","6.78","54.80","1.28","0.95","57.53","15.62","86.02","41.67","26.2","61.39","13.62","7.86","63.39","0.62","0.26","70.27","4.59","96.64","11.04","87.97","0.990"
"5","Columbus Blue Jackets","82","61.0047","40","30","12","33","92","0.561","59.71","59.83","49.95","43.18","43.78","49.66","28.86","28.27","50.51","2.95","3.01","49.50","3.19","3.18","50.13","28.93","28.56","50.32","15.17","15.03","50.24","2.34","2.19","51.59","15.42","85.40","11.65","12.25","48.74","7.16","7.8","47.87","1.31","1.25","51.17","18.26","84.00","17.28","16.31","51.45","8.01","7.23","52.56","1.03","0.95","52.12","12.87","86.90","34.81","35.91","49.22","12.2","11.87","50.67","0.53","0.68","43.56","4.33","94.24","10.22","89.35","0.996"
"6","Calgary Flames","82","60.6722","34","39","9","30","77","0.470","57.79","60.48","48.86","41.25","44.3","48.22","27.81","29.56","48.48","2.51","3.09","44.83","2.94","3.38","46.53","26.63","30.84","46.34","14.19","16.38","46.43","1.97","2.56","43.47","13.85","84.39","11.58","13.05","47.01","7.38","8.38","46.82","1.3","1.57","45.38","17.65","81.29","15.05","17.79","45.83","6.81","8","46.01","0.66","0.99","40.15","9.73","87.63","35.09","34.29","50.58","11.78","11.32","50.99","0.46","0.4","53.52","3.89","96.49","9.02","89.56","0.986"
"7","Chicago Blackhawks","82","60.8303","29","39","14","26","72","0.439","50.29","58.71","46.14","37.65","44.92","45.60","24.24","29.55","45.06","2.53","3.25","43.75","2.62","3.45","43.14","24.35","30.72","44.21","13.03","16.8","43.67","2.13","2.72","43.92","16.34","83.82","10","14.19","41.32","6.27","9.35","40.14","1.37","1.67","45.06","21.88","82.11","14.35","16.53","46.47","6.76","7.46","47.55","0.76","1.05","42.00","11.21","85.97","29.65","33.5","46.95","9.98","11.17","47.19","0.36","0.47","43.48","3.61","95.80","10.42","89.01","0.994"
"8","Colorado Avalanche","82","60.7902","55","16","11","51","121","0.738","68.7","53.94","56.02","49.83","39.96","55.50","33.29","25.76","56.38","3.59","2.37","60.20","3.73","2.92","56.09","33.33","25.75","56.42","17.81","13.37","57.12","2.65","1.83","59.14","14.86","86.32","13.26","11.23","54.15","8.44","6.91","54.98","1.58","1.16","57.71","18.69","83.28","20.06","14.52","58.02","9.38","6.46","59.19","1.07","0.67","61.38","11.42","89.57","41.15","32.91","55.57","14.06","10.89","56.34","0.84","0.47","64.22","5.99","95.69","10.77","90.79","1.016"
"9","Dallas Stars","82","60.9776","50","20","12","44","112","0.683","50.45","54.96","47.86","36.87","39.21","48.46","24.91","25.74","49.18","3.28","2.66","55.15","3.23","2.96","52.17","27.35","26.22","51.05","15.01","13.36","52.92","2.78","2.11","56.86","18.55","84.19","12.46","10.98","53.15","8.28","6.9","54.55","1.84","1.22","60.00","22.17","82.26","14.89","15.24","49.42","6.73","6.46","51.05","0.95","0.89","51.63","14.08","86.25","27.85","32.87","45.87","8.74","10.98","44.31","0.42","0.42","50.00","4.81","96.17","13.15","89.65","1.028"
"10","Detroit Red Wings","82","60.7185","41","31","10","39","92","0.561","58.3","59.9","49.32","43.03","42.59","50.26","27.87","27.4","50.43","2.88","3.06","48.48","3.31","3.13","51.34","28.15","29.4","48.91","15.18","14.52","51.12","2.3","2.41","48.85","15.16","83.40","12.23","11.71","51.08","7.88","7.11","52.57","1.39","1.46","48.73","17.58","79.49","15.92","17.69","47.36","7.3","7.41","49.63","0.92","0.95","49.03","12.54","87.15","34.49","35.44","49.32","11.3","11.56","49.45","0.43","0.54","44.44","3.84","95.31","10.33","88.83","0.992"
